skill	Id	charclass	skilldesc	*comments	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Quickness	258	ass	quickness			18																	quickness		ln56+(skill('Fade'.blvl)+skill('Venom'.blvl)+skill('Shade Armor'.blvl))*par6		velocitypercent	dm12	attackrate	dm34																																																assassin_quickness																																1	0		none												SC	SC	SC				1													1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	6	40								1											1	6	40	1	1	1																	15	% min increased walk speed	70	% max increased walk speed	15	min % increased attack speed	60	max % increased attack speed	3000	duration	300	duration per level					1								8																																		1			100
Fists of Fire	259	ass	fists of fire		23	35	1	143	38	39		par1	par2	4						fistsoffirefirewall			progressive_fire		par3		progressive_fire		progressive_tohit	par4																																																																	9	9			fistsoffireexplode	fistsoffirefirewall										1	0		h2h	3	h2h										SQ	A1	xx	16			1		1	1								1										((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	6	40													1						1	5	16	1	1							1			lvl*3	convert to fire%							5	Radius of explosion	8	Radius of firewall fragments	1500	duration	50	tohit bonus for each charge-up					5	fire duration synergy	7	damage synergy	1	45	15						8	128														fire	4	4	8	16	32	32	8	4	8	16	32	32	(skill('Royal Strike'.blvl)+skill('Claws of Thunder'.blvl)+skill('Blades of Ice'.blvl)+skill('Dragon Claw'.blvl)+skill('Dragon Tail'.blvl)+skill('Dragon Flight'.blvl))*par8						4			100
Dragon Claw	260	ass	dragon claw		25	46																																																																								assassin_kick_1																																1	0		h2h	3	h2h					h2h					SQ	A1	xx	16			1		1	1								1										((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40													1						0	8	2	0	1					1					ln12+(skill('Dragon Talon'.blvl)+skill('Dragon Tail'.blvl)+skill('Dragon Flight'.blvl)+skill('Weapon Block'.blvl)+skill('Tiger Strike'.blvl)+skill('Royal Strike'.blvl))*par8	damagepercent							100	% Damage bonus	18	% damage per level											12	damage synergy	1	75	25						8	128																																	4			100
Charged Bolt Sentry	261	ass	charged bolt sentry	Lava Sentry		45																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)									chargeboltsentry	assassintrap	5+(blvl/10)+stat('skill_extra_trap'.accr)	S1	BoltSentry	lvl	Shock Field	skill('Shock Field'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)	Death Sentry	skill('Death Sentry'.blvl)	Inferno Sentry	skill('Inferno Sentry'.blvl)				assassin_summon																																1	0		rng												S2	S2	S2				1	4												1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	6	40					Shock Field														1	7	26	1	1																par1	shots fired	5	Shots fired/Bolt#	1	Bolt# per level	4	Bolts to send out	1	Bolts to send out per level							10	damage synergy	1								7															fire	6	3	4	6	8	8	12	3	4	6	8	8	(skill('Shock Field'.blvl)+skill('Lightning Sentry'.blvl)+skill('Death Sentry'.blvl)+skill('Inferno Sentry'.blvl))*par8						3			100
Wake of Fire Sentry	262	ass	wake of fire sentry	Command Mastery																																											commandmastery		passive_summ_mastery	ln12	item_summskills	blvl*ulvl/par5/100																																																										1	0		none												SC	SC	xx																									((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	6	40													1						0	8	0	0	1						1												20	summon melee bonus	4	summon melee bonus/lvl	1	CB to shadows	2	pierce to shadows	3	skill bonus to shadows per X level							1								8																																					100
Weapon Block	263	ass	weapon block																																												weaponblock	h2h	passive_weaponblock	dm12																																																												1	0		rng		h2h										SC	SC	SC				1																					((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40													1						0	8	0	0	1						1												20	min block %	65	max block %													1								8																																		10			100
Horrific Form	264	ass	horrificform	passive ele pierce																																											horrificass		passive_fire_pierce	blvl	passive_ltng_pierce	blvl	passive_cold_pierce	blvl	passive_pois_pierce	blvl	passive_mag_pierce	blvl																																																				1	0		none												SC	SC	xx				1																					((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	1	40																			0	8	0	0	1						1												30	Attack rating bonus percent	12	Percent attack rating per level	30	% damage percent	6	damage % per level	0	critical%	30	critical%					1								8																																		10			100
Cobra Strike	265	ass	cobra strike		37	13																																																																																						53	21																	1	2		h2h		2hsw	knif	knuc								A1	A1	A2						1	1								1										((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	18	35					Iaigiri								1						1	8	4	0						1					2	max targets	ln34+(skill('Iaigiri'.blvl)+skill('Shuriken'.blvl)+skill('Blade Shield'.blvl)+skill('Blade Sentinel'.blvl))*par8	damage %					1	additional target/level	10	% frame rollback	-50	% damage percent	12	damage % per level							7	damage % per level	1	50	20						8	128																																	4			100
Blade Fury	266	ass	blade fury		26	48					par4							bladefragment1																																																																										8	6					bladefragment2												1	0		rng												SQ	A1	SC	23	12																							((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	24	30					Blade Sentinel								1	1			1	6	0	5	8	1	1																		0	"Don't Use, missile range mod"	0	"Don't Use, missile range mod"	3	Min Mana to start casting	5	Frame delay between blades							10	damage synergy	1								6	64														pois	6	3	4	6	8	8	12	3	4	6	8	8	(skill('Venom'.blvl)+skill('Blade Sentinel'.blvl)+skill('Blade Shield'.blvl)+skill('Fire Trauma'.blvl)+skill('Shock Field'.blvl))*par8	50					11			100
Fade	267	ass	fade			18																	fade		ln56+(skill('Quickness'.blvl)+skill('Venom'.blvl)+skill('Shade Armor'.blvl))*par6		fireresist	dm12	coldresist	dm12	lightresist	dm12	poisonresist	dm12	curse_resistance	dm34	damageresist	ln78											fade	2																												assassin_fade																																1	0		none												SC	SC	SC				1													1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	18	35					Quickness			1											1	6	40	1	1	1																	10	min Elemental resistance	75	max elemental resist	30	min curse length reduction	55	max curse length reduction	3000	duration	300	Duration per level	1	damage resist %	1	damage resist % per level	1								8																																		1			100
Shadow Warrior	268	ass	shadow warrior			49																	shadowwarrior				tohit	(lvl+skill('Shadow Master'.blvl))*par2	skill_armor_percent	(lvl+skill('Shadow Master'.blvl))*par3	strength	(lvl+skill('Shadow Master'.blvl))*par4	dexterity	(lvl+skill('Shadow Master'.blvl))*par4	item_crushingblow	skill('Wake of Fire Sentry'.blvl)*skill('Wake of Fire Sentry'.par3)	item_allskills	stat('item_summskills'.accr)											fireresist	"min(lvl*2,75)"	coldresist	"min(lvl*2,75)"	lightresist	"min(lvl*2,75)"	poisonresist	"min(lvl*2,75)"	item_normaldamage	edmn			shadowwarrior	shadowwarrior	1+(skill('Wake of Fire Sentry'.blvl)/15)+stat('skill_extra_minion'.accr)	NU											42			assassin_summon																																1	0		none												SC	SC	SC				1	4																				((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	12	35					Wake of Fire Sentry			1				75							1	7	60	3	1	1																	15	Plus % HP per level	40	plus to hit per level	12	Plus % AC per level	10	str/dex bonus	18	base item quality level	2	item quality per level					1								8																2	2	4	6	8	8																100
Claws of Thunder	269	ass	claws of thunder		23	35	1		36	37			par1	4					clawsofthundernova	clawsofthunderbolt			progressive_lightning		par3		progressive_lightning		progressive_tohit	par4																																																																	10	11			clawsofthundernova	clawsofthunderbolt										1	0		h2h	3	h2h										SQ	A1	xx	16			1			1								1										((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	18	35					Fists of Fire								1						1	5	16	1	1							1											4	skip			1500	duration	50	tohit bonus for each charge-up							7	damage synergy	1	75	15						8	128														ltng	1	0	0	0	0	0	45	18	36	54	72	72	(skill('Royal Strike'.blvl)+skill('Fists of Fire'.blvl)+skill('Blades of Ice'.blvl)+skill('Dragon Claw'.blvl)+skill('Dragon Tail'.blvl)+skill('Dragon Flight'.blvl))*par8						4			100
Dragon Tail	270	ass	dragon tail		27	50												dragontail missile								par3																																																				assassin_kick_1														9	7					dragontail missile												1	0		h2h	4											KK	KK	A1				1			1								1										((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	18	35					Dragon Talon								1						0	7	20	1	1					1					ln12	damagepercent							50	Percent area damage min	13	percent area damage per level	6	Radius	-40	Attack rate penalty									1	100	25					1	8															fire																			4			100
Lightning Sentry	271	ass	lightning sentry			45																																											passive_ltng_mastery	stat('passive_ltng_mastery'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)									lightningsentry	assassintrap	5+(blvl/10)+stat('skill_extra_trap'.accr)	S1	sentry lightning	lvl	Shock Field	skill('Shock Field'.blvl)	Charged Bolt Sentry	skill('Charged Bolt Sentry'.blvl)	Death Sentry	skill('Death Sentry'.blvl)	Inferno Sentry	skill('Inferno Sentry'.blvl)				assassin_summon																																1	0		rng												S2	S2	S2				1	4												1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-25)?(stat('newskills'.accr)+1):1	18	35					Charged Bolt Sentry														1	7	40	1	1																		10	Shots fired													10	damage synergy	1								8															ltng	1	0	0	0	0	0	40	12	24	36	48	48	(skill('Shock Field'.blvl)+skill('Charged Bolt Sentry'.blvl)+skill('Death Sentry'.blvl)+skill('Inferno Sentry'.blvl))*par8						3			100
Inferno Sentry	272	ass	inferno sentry	Steam Sentry		45																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)									infernosentry	assassintrap	5+(blvl/10)+stat('skill_extra_trap'.accr)	S1	mon inferno sentry	lvl	Shock Field	skill('Shock Field'.blvl)	Charged Bolt Sentry	skill('Charged Bolt Sentry'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)	Death Sentry	skill('Death Sentry'.blvl)				assassin_summon																																1	0		rng												S2	S2	S2				1	4												1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	24	30					Lightning Sentry														1	7	40	1	1																		10	Shots fired													7	damage synergy	1								8															fire	12	12	16	20	24	24	24	12	16	20	24	24	(skill('Shock Field'.blvl)+skill('Charged Bolt Sentry'.blvl)+skill('Death Sentry'.blvl)+skill('Lightning Sentry'.blvl))*par8						3			100
Mind Blast	273	ass	mind blast			51																33667				par7+(skill('Horrific Form'.blvl)+skill('Psychic Hammer'.blvl))/10																																																				assassin_psychichammer							fist_will_cast								8					mindblast center	mindblast hit											1	0		rng												SC	SC	SC				1			1										1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	30	30					Psychic Hammer							10	1						1	8	15	0	1																		40	length of stun	2	additional lengh of stun	0	conversion length min	0	conversion length random range	0	chance for conversion	0	max chance for conversion	4	radius	5	damage synergy	1				9				8		14	7	14	21	28	28	28	7	14	21	28	28	(100+(skill('Psychic Hammer'.blvl)+skill('Horrific Form'.blvl))*par8)*(100+stat('passive_wind_mastery'.accr))/100-100	stun														40	2	2	2		11			100
Blades of Ice	274	ass	blades of ice		23	35	1		38	39		par1	par2	4						bladesoficecubes		34571	progressive_cold		par3		progressive_cold		progressive_tohit	par4																																																																	9	9			bladesoficeexplode	bladesoficecubes										1	0		h2h	3	h2h										SQ	A1	xx	16			1		1	1								1										((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	24	30					Claws of Thunder								1						1	5	16	1	1							1											8	Second level radius	4	Third level radius	1500	duration	50	tohit bonus for each charge-up	1	freeze length divisor			5	duration synergy	7	damage synergy	1	90	15						8	128														cold	21	21	28	35	42	42	42	21	28	35	42	42	(skill('Royal Strike'.blvl)+skill('Fists of Fire'.blvl)+skill('Claws of Thunder'.blvl)+skill('Dragon Claw'.blvl)+skill('Dragon Tail'.blvl)+skill('Dragon Flight'.blvl))*par8	100	10	10	10		4			100
Dragon Flight	275	ass	dragon flight		12	52																				par7																																																			1	sorceress_teleport							shadowstep				shadow_cast			5																1		1	0		rng	4											SQ	A1	xx	21							1							1										((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	24	30					Dragon Tail							25	1						0	8	15	0	1					1													200	% Damage bonus	30	% damage per level									36	range			1	150	25					1	8																																		13			100
Death Sentry	276	ass	death sentry			45																				ln34/2																							passive_ltng_mastery	stat('passive_ltng_mastery'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)									deathsentry	assassintrap	5+(blvl/10)+stat('skill_extra_trap'.accr)	S1	mon death sentry	lvl	death sentry ltng	lvl	Shock Field	skill('Shock Field'.blvl)	Charged Bolt Sentry	skill('Charged Bolt Sentry'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)	32			assassin_summon																																1	0		rng												S2	S2	S2				1	4												1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	30	30					Inferno Sentry														1	7	40	1	1																		7	Shots fired			16	radius (half squares)	1	additional radius/level (half squares)							7	damage synergy	1								8															ltng	1	0	0	0	0	0	60	15	20	25	30	30	(skill('Shock Field'.blvl)+skill('Charged Bolt Sentry'.blvl)+skill('Lightning Sentry'.blvl))*par8						3			100
Blade Shield	277	ass	blade shield		28	54												blade shield attachment				33667	bladeshield		ln12+skill('Blade Sentinel'.blvl)*par2	par4																																																				assassin_bladeshield																																1	0		none												SC	SC	SC				1													1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5)-50)?(stat('newskills'.accr)+1):1	6	40								1											1	8	27	1	1	1		1	par3														1500	duration	250	duration per level	25	delay	6	radius to attack in							12	damage synergy	1				32		3		8	32	1	2	4	6	8	8	12	2	4	6	8	8	(100+(skill('Blade Sentinel'.blvl)+skill('Blade Fury'.blvl)+skill('Fire Trauma'.blvl)+skill('Shock Field'.blvl))*par8)*(100+stat('passive_wind_mastery'.accr))/100-100	ltng	1	2	4	6	8	8	12	2	4	6	8	8	(skill('Blade Sentinel'.blvl)+skill('Blade Fury'.blvl)+skill('Fire Trauma'.blvl)+skill('Shock Field'.blvl))*par8						1			100
Venom	278	ass	venom			18																	venomclaws		ln12+(skill('Quickness'.blvl)+skill('Fade'.blvl)+skill('Shade Armor'.blvl))*par2		poisonmindam	enms	poisonmaxdam	exms	skill_poison_override_length	edma																																														assassin_venom																																1	0		none												SC	SC	SC				1													1								((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	24	30					Fade			1											1	7	24	1	1	1																	3000	duration	125	duration per level					0	?	0	?			5	damage synergy	1								6															pois	18	4	6	8	11	11	24	4	6	8	11	11	(skill('Horrific Form'.blvl)+skill('Blade Fury'.blvl))*par8	50					1			100
Shadow Master	279	ass	shadow master			49																	shadowwarrior				tohit	(lvl+skill('Shadow Warrior'.blvl))*par2	skill_armor_percent	(lvl+skill('Shadow Warrior'.blvl))*par3	strength	(lvl+skill('Shadow Warrior'.blvl))*par4	dexterity	(lvl+skill('Shadow Warrior'.blvl))*par4	item_crushingblow	skill('Wake of Fire Sentry'.blvl)*skill('Wake of Fire Sentry'.par3)	item_allskills	stat('item_summskills'.accr)											fireresist	"min(lvl*2,75)"	coldresist	"min(lvl*2,75)"	lightresist	"min(lvl*2,75)"	poisonresist	"min(lvl*2,75)"					shadowmaster	shadowmaster	1+(skill('Wake of Fire Sentry'.blvl)/25)+stat('skill_extra_minion'.accr)+stat('skill_extra_minion2'.accr)	NU											42			assassin_summon																																1	0		none												SC	SC	SC				1																					((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	24	30					Shadow Warrior			1				75							1	8	40	2	1	1																	15	Pluse % HP per level	40	plus to hit per level	12	Plus % AC per level	10	str/dex bonus	18	base item quality level	2	item quality per level					1								8																																					100
Royal Strike	280	ass	royal strike		23	34		40	143	41		par6	par5					royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice			progressive_other		1500	par1	progressive_other		progressive_tohit	par7																																																																14	83	15		royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice										1	0		h2h		mele										A1	A1	A2				1		1	1								1										((ulvl)<((blvl-stat('skill_maxlvl'.accr))*5))?(stat('newskills'.accr)+1):1	30	30													1						1	8	4	0	1							1			par2								12	radius of jump to next target	9	radius of meteor explosion	30	Frames of fire	15	Frames of fire per level	16	chaos ice bolts	10	chain lightning skip	25	tohit bonus for each charge-up	10	damage synergy	1	105	15						8	128																																	4	-3		100
Wake Of Destruction Sentry	281					125												wake of destruction maker																																																																											70					wake of destruction maker												1	0		none												SQ	SQ	S2				1																						1																								1																par8	shots fired	6	Number of missiles	2	Number of missiles per level			2	Min Range							5	Shots Fired	1								8																																					0
Imp Inferno	282				59	126												impinfernoflame1																																																																											71					impinfernoflame1	impinfernoflame2			8	z offset	lvl-1	range					1	0		none												SQ	SQ	SC	6			1																						1																								1										"rand(par3,par4)"	len	lvl-1	range					30	base ranged (doubled)	3	level range (doubled)	100	min frames	120	max frames									1								4															fire	18	15	15	15	15	15	37	15	15	15	15	15										0
Imp Fireball	283														impfireball		1																																																													sorceress_cast_fire											fire_cast_2				72					impfireball				40	z offset							1	0		none												SQ	SQ	S2				1																						1																								1																																		1								8																																					0
Baal Taunt	284					28												baal taunt control																																																																						monster_baal_taunt_1				46						baal taunt control												1	0		none												SQ	SQ	A1				1																						1																								1										3		45						45	Delay in poison clouds	3	Delay in lightning													1								8																																					0
Baal Corpse Explode	285					141																				ln34																																																																		82																		1	0		none												SQ	SQ	S3				1																						1																								1																		1	% of base monster HP min damage	1	% of base monster HP max damage	6	radius (half squares) for damage	1	additional radius/level (half squares) for damage	40	Radius of search for corpses							1								8																																					0
Baal Monster Spawn	286														baal spawn monsters		1																																																													baal_summon																			baal spawn monsters													1	0		none												SQ	SQ	S3				1																						1																								1																																		1								8																																					0
Catapult Charged Ball	287					28												catapultchargedball																																																																										47						catapultchargedball				16	fall rate							1	0		none												SQ	SQ	A1				1																						1																								1																		4	Charged bolts per level															1								8																																					0
Catapult Spike Ball	288					28												catapult spike ball																																																																										47						catapult spike ball				16	fall rate							1	0		none												SQ	SQ	A1				1																						1																								1																ln12		20	Spikes to launch	5	Spikes per level													1								8																																					0
Suck Blood	289				60	127																																																																																																								1	0		none												SQ	SQ	A1				1																						1																								1										par1	heal%							25	Percent life to boss															1								8		1						3																													0
Cry Help	290					128															curseattract																																																																																									1	0		none												SQ	SQ	S1				1																						1																																		ln12	duration							100	Time for minions to attack target	20	Time per level													1								8																																					0
Healing Vortex	291														healing vortex																																																																																		healing vortex													1	0		none												SQ	SQ	S2				1																						1																								1																																		1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0
Teleport 2	292					98																																																																																						48	73																	1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Self-resurrect	293				61																																																																																							38																		1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Vine Attack	294					130												plague vines						slowed			velocitypercent	-100																																																						druidpod_attack_1	druidpod_walk1_1	druidpod_neutral_1								49						vine beast attack	vines	vine beast walk 1	vine beast neutral	ln12	#vines	35	delay	6	min dist between missiles			1	0		none												SQ	SQ	S1				1																						1																								1										ln12	# missiles					20	frames to apply aura to target	1	Number of vines	0	vines per level													1								8																																					0
Overseer Whip	295					131																		bloodlust	par2		velocitypercent	par3	attackrate	par4	skill_armor_percent	par5	damagepercent	par6																											suicideminion1			S1											33																																			1	0		none												SQ	SQ	A2				1																						1																								1										par1	chance							65	Chance Bloodlust	250	Bloodlust duration	80	Velocity change	80	Speed change	50	Armor change	100	Damage change					1								8																																					0
Barbs Aura	296					65																65795	barbscontrol	barbs		ln12	thorns_percent	ln34	magicmindam	50+lvl*27+skill('Summon Grizzly'.lvl)*35	magicmaxdam	75+lvl*27+skill('Summon Grizzly'.lvl)*35																																																																														1	0		none												SQ	SQ	A1				1																						1																								1		1																30	Radius	1	radius per level	120	% thorns damage back	40	% thorns damage back per level									1								8																																					0
Wolverine Aura	297					65																65795	wolverinecontrol	wolverine		ln12	item_tohit_percent	ln34	damagepercent	ln56																																																																																1	0		none												SQ	SQ	A1				1																						1																								1		1																30	Radius	1	radius per level	20	% attack rating bonus	6	% attack rating bonus per lvl	30	% damage increase	6	% damage increase per level					1								8																																					0
Oak Sage Aura	298					65																65795	oaksagecontrol	oaksage		ln12	item_maxhp_percent	ln34																																																																																		1	0		none												SQ	SQ	A1				1																						1																								1		1																30	Radius	1	radius per level	20	% hitpoints more per level	6	% hitpoint bonus per level									1								8																																					0
Imp Fire Missile	299					132												impmiss21																																																												sorceress_cast_fire											fist_will_cast								impmiss21													1	0		none												A1	A1	A1																										1																								1										lvl-1	range adder								?		?		?		?		?		?					1								8																																					0
Impregnate	300					133																																																							painworm1			NU																																														1	0		none												S1	S1	S1				1																						1																								1																			?		?		?		?		?		?					1								8																																					0
Siege Beast Stomp	301					134																				par5																																																															siege_beast_dust				75																		0		none												A2	A2	A2				1																						1																								1																		8	screen shake magnitude	5	screen shake bulid	20	screen shake duration	15	screen shake fade	25	radius of effect		?					1				1				8		24	12	24	36	48	48	48	12	24	36	48	48																								0
MinionSpawner	302				62	135																																																																						spawnedminion																																		1	0		none												A1	A1	A1																										1																								1																			?		?		?		?		?		?					1								8																																					0
CatapultBlizzard	303					28												catapult cold ball																																																																										47						catapult cold ball				16	fall rate							1	0		none												A1	A1	A1																										1																								1																			?		?		?		?		?		?					1								8																																					0
CatapultPlague	304					28												catapult plague ball																																																																										47						catapult plague ball				16	fall rate							1	0		none												A1	A1	A1																										1																								1																			?		?		?		?		?		?					1								8																																					0
CatapultMeteor	305					28												catapult meteor ball								par1																																																																		47						catapult meteor ball				16	fall rate							1	0		none												A1	A1	A1																										1																								1																		5	radius of explosion		?	50	duration base	3	duration/level		?		?					1								8																																					0
BoltSentry	306					17												sentrychargedbolt																																																																											23					sentrychargedbolt												1	0		none												SC	SC	xx																										1																								1										"min(ln12,30)"	# bolts					par8 + skill('Lightning Sentry'.blvl)/4	shots fired	5	Bolts to send out	1	Bolts to send out per level											5	Shots Fired	1								8																																					0
CorpseCycler	307					28												verruption center																																																												druid_firecast_a											druid_fire_cast_2				28					verruption center												1	0		none												SC	SC	xx				1	4				1								1						druid_firecast_a	druid_fire_cast_2		1													15											1										par1	radius	par2	frequency					5	radius	6	Missile delay	0	Change duration in Missiles.xls									6	damage synergy	1								8															fire	4	4	8	12	16	16	8	4	8	12	16	16	(skill('Volcano'.blvl)+skill('Molten Boulder'.blvl)+skill('Firestorm'.blvl)+skill('Plague Poppy'.blvl)+skill('Vines'.blvl))*par8									0
DeathMaul	308					136												death mauler																																																																											76					death mauler	death mauler trail											1	0		none												A1	A1	xx																										1																								1										96	missile animrate								?		?		?		?		?		?					1								8		16	8	16	24	32	32	32	8	16	24	32	32																								0
Defense Curse	309					30																3		defense_curse	ln34	ln12	item_armor_percent	-ln56																																																																18	30					curseeffectred		cursecast										1	0		none												SC	SC	S2																										1																								1																		3	radius	1	radius per level	200	duration	75	additional duration/level	50	% defense	5	% defense/lvl					1																																													0
Blood Mana	310					30																3		blood_mana	ln34	ln12																																																																		18	30					curseeffectred		cursecast										1	0		none												SC	SC	S2																										1																								1																		3	radius	1	radius per level	200	duration	75	additional duration/level	40	Max hitpoints to remove curse							1								8		10	4	4	4	4	4	20	4	4	4	4	4																								0
mon inferno sentry	311														inferno sentry 1																																																																																		inferno sentry 1													1	0		none												SQ	SQ	xx																	1									1																								1																par8	shots fired	10	minimum damage	20	max damage	4	increase in dam/level (min & max)									10	Shots Fired	1								8																																					0
mon death sentry	312					55																				ln34/2																																																														necromancer_corpseexp_1	death_sentry			50	78					corpseexplosion	deathsentryexplode											1	0		none												SQ	SQ	xx											1															1																								1										par1	damage %	par2	damage %	50	fire %	par8	shots fired	20	% of base monster HP min damage	40	% of base monster HP max damage	16	radius (half squares)	1	additional radius/level (half squares)							7	Shots Fired	1								8															fire																						0
sentry lightning	313														sentrylightningbolt																																																																																		sentrylightningbolt													1	0		none												SQ	SQ	xx																	1									1																								1																par8	shots fired	10	minimum damage	20	max damage	4	increase in dam/level (min & max)									10	Shots Fired	1								8																																					0
fenris rage	314					137																	fenris_rage		par1		damagepercent	par2																																																						necromancer_corpseexp_1										51	79					corpseexplosion												1	0		none												A1	A1	A1											1						1									1																								1																		500	rage duration - see fenris rage	100	% damage with rage - see fenris rage													1								8																																					0
