name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Diadem	100	0	1	1	150	180	0	0	55	0	20	0	83	64	38000	627125	ci3	ci3	18	320	lit	lit	ci0	ci1	ci3	0	0	2	2	1	4	1	flpci2	invci3									0	0	0	0	0	circ		item_helm	12	item_helm	0	0	5	0	3	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Shako	100	0	1	0	130	166	0	0	40	0	12	0	57	43	33154	256796	uap	uap		320	cap	cap	2ap	4ap	uap	0	0	2	2	1	2	1	flpcap	invcap									0	0	0	0	0	helm		item_cap	12	item_cap	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Hydraskull	100	0	4	0	150	190	0	0	90	0	18	0	59	47	36370	289138	ukp	ukp		320	skp	skp	2kp	4kp	ukp	0	0	2	2	1	2	1	flpskp	invskp		invmsk							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Armet	100	0	4	0	170	214	0	0	120	0	24	0	63	51	39970	340852	ulm	ulm		320	hlm	hlm	2lm	4lm	ulm	0	0	2	2	1	2	1	flphlm	invhlm	invhlmu	invhlmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Giant Conch	100	0	4	0	189	232	0	0	105	0	30	0	65	52	33903	383932	uhl	uhl		320	fhl	fhl	2hl	4hl	uhl	0	0	2	2	1	2	1	flpfhl	invfhl	invfhlu	invfhlu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	1	0	xxx	xxx	0	0	1
Spired Helm	100	0	4	0	209	255	0	5	135	0	40	0	73	59	48584	465440	uhm	uhm		320	ghm	ghm	2hm	4hm	uhm	0	0	2	2	1	3	1	flpghm	invghm		invuhms							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	1	0	xxx	xxx	0	0	1
Corona	100	0	4	0	217	265	0	5	130	0	50	0	77	66	52385	526085	urn	urn		320	crn	crn	2rn	4rn	urn	0	0	2	2	1	3	1	flpcrn	invcrn									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Demonhead	100	0	4	0	195	239	0	0	110	0	20	0	69	55	43289	404852	usk	usk		320	msk	msk	2sk	4sk	usk	0	0	2	2	1	3	1	flpmsk	invmsk									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Dusk Shroud	100	0	1	0	573	584	0	0	80	0	20	0	57	49	114179	763317	uui	uui		320	qlt	qlt	2ui	4ui	uui	0	1	2	3	1	4	1	flpqlt	invqlt							1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Wyrmhide	100	0	2	0	585	592	0	0	90	0	24	0	58	50	118464	808374	uea	uea		320	lea	lea	2ea	4ea	uea	0	1	2	3	1	4	1	flplea	invlea					1		1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Scarab Husk	100	0	3	0	593	601	0	0	100	0	28	0	59	51	121287	856223	ula	ula		320	hla	hla	2la	4la	ula	0	1	2	3	1	4	1	flphla	invhla		invflesh	1	1	1		1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Wire Fleece	100	0	4	0	602	611	0	0	80	0	32	0	61	53	126525	880452	utu	utu		320	stu	stu	2tu	4tu	utu	0	1	2	3	1	4	1	flpstu	invstu		invxtuu	1			1	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Diamond Mail	100	0	4	0	612	622	0	10	95	0	26	0	63	54	132218	958455	ung	ung		320	rng	rng	2ng	4ng	ung	0	1	2	3	1	4	1	flprng	invrng					1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Loricated Mail	100	0	4	0	623	634	0	15	110	0	36	0	64	55	136083	1017367	ucl	ucl		320	scl	scl	2cl	4cl	ucl	0	1	2	3	1	4	1	flpscl	invscl			1	1	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Boneweave	100	0	4	0	635	647	0	10	115	0	45	0	65	47	118850	1082945	uhn	uhn		320	chn	chn	2hn	4hn	uhn	0	1	2	3	1	4	1	flpchn	invchn			1	1	1	1	2	2	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Great Hauberk	100	0	4	0	648	661	1	5	85	0	50	0	68	56	141103	1142380	urs	urs		320	brs	brs	2rs	4rs	urs	0	1	2	3	1	4	1	flpbrs	invbrs		invxrss			2		2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Balrog Skin	100	0	4	0	662	681	0	10	125	0	30	0	70	57	147676	1230230	upl	upl		320	spl	spl	2pl	4pl	upl	0	1	2	3	1	4	1	flpspl	invspl		invypls	1	1	2	1	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Hellforged Plate	100	0	4	0	693	709	0	15	150	0	60	0	74	59	155065	1284088	ult	ult		320	plt	plt	2lt	4lt	ult	0	1	2	3	1	4	1	flpplt	invplt			2	2	2	2	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Kraken Shell	100	0	4	0	710	727	2	10	130	0	48	0	77	61	159008	1369796	uld	uld		320	fld	fld	2ld	4ld	uld	0	1	2	3	1	4	1	flpfld	invfld			1	1	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Lacquered Plate	100	0	4	0	728	746	0	10	160	0	55	0	79	62	166547	1526386	uth	uth		320	gth	gth	2th	4th	uth	0	1	2	3	1	4	1	flpgth	invgth			2	2	1	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Shadow Plate	100	0	4	0	767	787	2	15	175	0	70	0	81	64	173322	1608107	uul	uul		320	ful	ful	2ul	4ul	uul	0	1	2	3	1	4	1	flpful	invful			2	2	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Sacred Armor	100	0	4	0	810	832	5	10	215	0	60	0	83	66	191779	1832080	uar	uar		320	aar	aar	2ar	4ar	uar	0	1	2	3	1	4	1	flpaar	invaar	invaaru	invaaru	1	2	2	2	2		0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Archon Plate	100	0	4	0	682	692	1	5	110	0	60	0	80	63	163763	1545549	utp	utp		320	ltp	ltp	2tp	4tp	utp	0	1	2	3	1	4	1	flpltp	invltp			2		1	1	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Heater	100	0	2	0	120	147	0	0	80	22	88	0	57	43	29152	197614	uuc	uuc		320	buc	buc	2uc	4uc	uuc	0	7	2	2	1	2	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	68	100	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Luna	100	0	3	0	135	165	0	0	110	20	84	0	59	45	33595	223272	uml	uml		320	buc	buc	2ml	4ml	uml	0	7	2	2	1	2	2	flpsml	invsml	invsmlu	invsmlu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	66	106	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Hyperion	100	0	4	0	145	176	0	5	90	24	82	0	63	48	37957	262139	urg	urg		320	lrg	lrg	2rg	4rg	urg	0	7	2	3	1	3	2	flplrg	invlrg	invlrgu	invlrgu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	56	120	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Monarch	100	0	4	0	168	204	0	5	115	22	86	0	67	54	45948	293077	uit	uit		320	kit	kit	2it	4it	uit	0	7	2	3	1	4	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	66	118	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Aegis	100	0	4	0	182	221	1	10	170	24	92	0	72	59	53851	351784	uow	uow		320	tow	tow	2ow	4ow	uow	0	7	2	3	1	4	2	flptow	invtow	invtowu	invtowu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	64	116	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Ward	100	0	4	0	208	252	0	5	140	24	100	0	78	63	59818	433301	uts	uts		320	kit	kit	2ts	4ts	uts	0	7	2	4	1	4	2	flpgts	invgts	invgtsu	invutss							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	58	126	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Bramble Mitts	100	0	1	0	130	166	0	0	40	0	12	0	59	42	18460	139969	ulg	ulg		320	lgl	lgl	2lg	4lg	ulg	0	16	2	2	1	2	0	flplgl	invlgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Vampirebone Gloves	100	0	1	0	140	180	0	0	40	0	14	0	61	47	20431	158052	uvg	uvg		320	vgl	vgl	2vg	4vg	uvg	0	16	2	2	1	2	0	flpvgl	invvgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Vambraces	100	0	2	0	150	194	0	0	120	0	16	0	64	51	22482	181076	umg	umg		320	mgl	mgl	2mg	4mg	umg	0	16	2	2	1	2	0	flpmgl	invmgl									0	0	0	0	0	glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Crusader Gauntlets	100	0	3	0	160	208	0	0	110	0	18	0	70	56	24560	215310	utg	utg		320	mgl	mgl	2tg	4tg	utg	0	16	2	2	1	2	0	flptgl	invtgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Ogre Gauntlets	100	0	4	0	170	222	0	0	140	0	24	0	76	60	27741	254096	uhg	uhg		320	hgl	hgl	2hg	4hg	uhg	0	16	2	2	1	2	0	flphgl	invhgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Wyrmhide Boots	100	0	1	0	138	174	0	0	40	0	12	0	59	45	19158	139969	ulb	ulb		320	lbt	lbt	2lb	4lb	ulb	0	16	2	2	1	2	0	flplbt	invlbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	131	211	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Scarabshell Boots	100	0	1	0	150	190	0	0	95	0	14	0	61	49	21136	157810	uvb	uvb		320	vbt	vbt	2vb	4vb	uvb	0	16	2	2	1	2	0	flpvbt	invvbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	129	216	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Boneweave Boots	100	0	2	0	162	206	0	0	85	0	16	0	64	54	23228	181005	umb	umb		320	mbt	mbt	2mb	4mb	umb	0	16	2	2	1	2	0	flpmbt	invmbt									0	0	0	0	0	boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0	0	0	6	0	128	220	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Mirrored Boots	100	0	3	0	174	222	0	0	120	0	18	0	70	58	25829	215233	utb	utb		320	mbt	mbt	2tb	4tb	utb	0	16	2	2	1	2	0	flptbt	invtbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	126	225	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Myrmidon Greaves	100	0	4	0	186	238	0	0	160	0	24	0	76	61	27730	253930	uhb	uhb		320	hbt	hbt	2hb	4hb	uhb	0	16	2	2	1	2	0	flphbt	invhbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	125	229	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Spiderweb Sash	100	0	1	0	160	196	0	0	40	0	12	0	59	46	19421	140233	ulc	ulc		320	lbl	lbl	3lb	5lb	ulc	0	16	2	1	1	2	0	flplbl	invlbl									0	0	0	0	0	belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	6	0	0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Vampirefang Belt	100	0	1	0	170	210	0	0	40	0	14	0	61	51	21328	155440	uvc	uvc		320	vbl	vbl	3vb	5vb	uvc	0	16	2	1	1	2	0	flpvbl	invvbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Mithril Coil	100	0	2	0	170	214	0	0	120	0	16	0	64	56	23567	177500	umc	umc		320	mbl	mbl	3mb	5mb	umc	0	16	2	1	1	2	0	flpmbl	invmbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Troll Belt	100	0	2	0	180	228	0	0	110	0	18	0	70	59	25592	210690	utc	utc		320	mbl	mbl	3tb	5tb	utc	0	16	2	1	1	2	0	flptbl	invtbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Colossus Girdle	100	0	3	0	190	242	0	0	140	0	24	0	76	62	27526	251888	uhc	uhc		320	hbl	hbl	3hb	5hb	uhc	0	16	2	1	1	2	0	flphbl	invhbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Bone Visage	100	0	2	0	200	244	0	0	120	0	40	0	72	63	48637	304081	uh9	uh9		320	bhm	bhm	2h9	4h9	uh9	0	0	2	2	1	3	1	flpbhm	invbhm	invbhmu	invbhmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	2	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Troll Nest	100	0	2	0	182	221	0	0	120	20	74	0	69	57	55921	298290	ush	ush		320	bsh	bsh	2sh	4sh	ush	0	7	2	3	1	3	2	flpbsh	invbsh	invbshu	invbshu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	76	112	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Blade Barrier	100	0	3	0	154	187	0	0	85	20	83	0	61	51	47722	211957	upk	upk		306	spk	spk	2pk	4pk	upk	0	7	2	3	1	3	2	flpspk	invspk	invspku	invspku							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	70	122	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Alpha Helm	100	0	1	1	75	93	0	0	44	0	20	0	31	26	13150	46031	dr6	dr6		320	dr1	dr1	dr1	dr6	drb	0	0	2	2	1	4	1	flpdr1	invdr1									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	8	0	xxx	xxx	0	0	1
Griffon Headress	100	0	1	1	82	106	0	0	50	0	20	0	34	30	14282	46031	dr7	dr7		320	dr4	dr4	dr2	dr7	drc	0	0	2	2	1	4	1	flpdr4	invdr2									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	8	0	xxx	xxx	0	0	1
Hunter's Guise	100	0	1	1	90	120	0	0	56	0	20	0	41	29	18884	46032	dr8	dr8		320	dr3	dr3	dr3	dr8	drd	0	0	2	2	1	4	1	flpdr3	invdr3									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Sacred Feathers	100	0	1	1	97	133	0	0	62	0	20	0	45	32	19759	46032	dr9	dr9		320	dr4	dr4	dr4	dr9	dre	0	0	2	2	1	4	1	flpdr4	invdr4									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Totemic Mask	100	0	1	1	105	147	0	0	65	0	20	0	49	41	24064	46033	dra	dra		320	dr1	dr1	dr5	dra	drf	0	0	2	2	1	4	1	flpdr1	invdr5									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Jawbone Visor	100	0	2	1	67	85	0	0	58	0	25	0	31	25	13302	46031	ba6	ba6		320	ba1	dr1	ba1	ba6	bab	0	0	2	2	1	4	1	flpba1	invba1									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	8	0	xxx	xxx	0	0	1
Lion Helm	100	0	2	1	87	110	0	0	73	0	35	0	34	29	15689	46031	ba7	ba7		320	ba1	bhm	ba2	ba7	bac	0	0	2	2	1	4	1	flpba1	invba2									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	8	0	xxx	xxx	0	0	1
Rage Mask	100	0	2	1	105	133	0	0	88	0	45	0	41	29	20032	46032	ba8	ba8		320	ba3	bhm	ba3	ba8	bad	0	0	2	2	1	4	1	flpba3	invba3		invghm							0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Savage Helmet	100	0	2	1	121	153	0	0	103	0	50	0	45	32	23199	46032	ba9	ba9		320	ba5	bhm	ba4	ba9	bae	0	0	2	2	1	4	1	flpba5	invba4									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Slayer Guard	100	0	2	1	136	172	0	0	118	0	55	0	49	40	28317	46033	baa	baa		320	ba5	bhm	ba5	baa	baf	0	0	2	2	1	4	1	flpba5	invba5									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Akaran Targe	100	0	2	1	100	112	0	0	44	10	20	0	31	26	21250	46033	pa6	pa6		304	pa1	spk	pa1	pa6	pab	0	7	2	2	1	4	2	flppa1	invpa1									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	1	0	0	0	1	0	24	32	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	1	0	xxx	xxx	0	0	1
Akaran Rondache	100	0	2	1	113	129	0	0	59	15	30	0	34	30	25471	46033	pa7	pa7		304	pa1	spk	pa2	pa7	pac	0	7	2	2	1	4	2	flppa1	invpa2									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	2	0	0	0	1	0	30	40	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	1	0	xxx	xxx	0	0	1
Protector Shield	100	0	2	1	130	150	0	5	69	20	40	0	41	34	31474	46034	pa8	pa8		304	pa3	spk	pa3	pa8	pad	0	7	2	4	1	4	2	flppa3	invpa3									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	3	0	0	0	1	0	36	48	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Guilded Shield	100	0	2	1	151	175	0	5	89	22	50	0	45	38	37404	46034	pa9	pa9		304	pa3	spk	pa4	pa9	pae	0	7	2	4	1	4	2	flppa3	invpa4									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	4	0	0	0	1	0	40	56	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
