Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Daring	100	1	1	9		6				10	17	dex		1	8											jewl										0	0	0
of Daring	100	1	1	24		18				10	17	dex		9	16											jewl										0	0	0
of Daring	100	1		41		33				10	17	dex		17	24											jewl										0	0	0
of Truth	100	1	1	44		36				10	18	balance1		15	15											jewl										0	0	0
of Honor	100	1	1	47		35				10	19	regen		3	16											jewl										0	0	0
of Avarice	100	1	1	1		1				10	21	gold%		10	40											jewl										0	0	0
of Prosperity	100	1	1	26		19				10	22	mag%		5	20											jewl										0	0	0
of Knowledge	100	1	1	9		6				10	23	enr		1	8											jewl										0	0	0
of Knowledge	100	1	1	24		18				10	23	enr		9	16											jewl										0	0	0
of Knowledge	100	1		41		33				10	23	enr		17	24											jewl										0	0	0
of Spirit	100	1	1	1		1				16	26	hp		3	16											jewl										0	0	0
of Spirit	100	1	1	28		21				16	26	hp		17	32											jewl										0	0	0
of Spirit	100	1		45		37				10	26	hp		33	64											jewl										0	0	0
of Freedom	100	1	1	1		1				10	30	ease		-15	-30											jewl										0	0	0
of Virility	100	1	1	9		6				10	31	str		1	8											jewl										0	0	0
of Virility	100	1	1	24		18				10	31	str		9	16											jewl										0	0	0
of Virility	100	1		41		33				10	31	str		17	24											jewl										0	0	0
of the Werewolf	100	1	1	6		5				2	32	str/lvl	1													jewl										0	0	0
of the Werewolf	100	1	1	18		15				2	32	str/lvl	2													jewl										0	0	0
of the Werewolf	100	1	1	36		30				2	32	str/lvl	3													jewl										0	0	0
of the Werewolf	100	1		54		45				2	32	str/lvl	4													jewl										0	0	0
of the Werewolf	100	0		72		60				2	32	str/lvl	5													jewl										0	0	0
of the Wererat	100	1	1	6		5				2	33	dex/lvl	1													jewl										0	0	0
of the Wererat	100	1	1	18		15				2	33	dex/lvl	2													jewl										0	0	0
of the Wererat	100	1	1	36		30				2	33	dex/lvl	3													jewl										0	0	0
of the Wererat	100	1		54		45				2	33	dex/lvl	4													jewl										0	0	0
of the Wererat	100	0		72		60				2	33	dex/lvl	5													jewl										0	0	0
of the Werebear	100	1	1	6		5				2	34	vit/lvl	1													jewl										0	0	0
of the Werebear	100	1	1	18		15				2	34	vit/lvl	2													jewl										0	0	0
of the Werebear	100	1	1	36		30				2	34	vit/lvl	3													jewl										0	0	0
of the Werebear	100	1		54		45				2	34	vit/lvl	4													jewl										0	0	0
of the Werebear	100	0		72		60				2	34	vit/lvl	5													jewl										0	0	0
of the Weretiger	100	1	1	6		5				2	35	enr/lvl	1													jewl										0	0	0
of the Weretiger	100	1	1	18		15				2	35	enr/lvl	2													jewl										0	0	0
of the Weretiger	100	1	1	36		30				2	35	enr/lvl	3													jewl										0	0	0
of the Weretiger	100	1		54		45				2	35	enr/lvl	4													jewl										0	0	0
of the Weretiger	100	0		72		60				2	35	enr/lvl	5													jewl										0	0	0
of Shielding	100	0		70		50				5	36	res-all-max		1	1											jewl										0	0	0
Quivers																																				0	0	0
of Wrath	100	1	1	15	45	10				1	1	dmg-demon		25	25											arrm	boqm									0	0	0
of Smiting	100	1	1	15	45	10				1	2	dmg-undead		25	25											arrm	boqm									0	0	0
of Molasses	100	1	1	15	45	10				1	3	slow		10	10											arrm	boqm									0	0	0
of Piercing	100	1	1	15	45	10				1	4	pierce		10	10											arrm	boqm									0	0	0
of Plenty	100		1	15	45	10				1	5	stack	50	50	50											arrm	boqm									0	0	0
of Wrath	100	1	1	30	60	20				1	1	dmg-demon		50	50											arrm	boqm									0	0	0
of Smiting	100	1	1	30	60	20				1	2	dmg-undead		50	50											arrm	boqm									0	0	0
of Molasses	100	1	1	30	60	20				1	3	slow		15	15											arrm	boqm									0	0	0
of Piercing	100	1	1	30	60	20				1	4	pierce		15	15											arrm	boqm									0	0	0
of Plenty	100		1	30	60	20				1	5	stack	100	100	100											arrm	boqm									0	0	0
of Wrath	100	1	1	45		30				1	1	dmg-demon		75	75											arrm	boqm									0	0	0
of Smiting	100	1	1	45		30				1	2	dmg-undead		75	75											arrm	boqm									0	0	0
of Molasses	100	1	1	45		30				1	3	slow		20	20											arrm	boqm									0	0	0
of Piercing	100	1	1	45		30				1	4	pierce		20	20											arrm	boqm									0	0	0
of Plenty	100		1	45		30				1	5	stack	150	150	150											arrm	boqm									0	0	0
of Wrath	100	1	1	60		40				1	1	dmg-demon		100	100											arrm	boqm									0	0	0
of Smiting	100	1	1	60		40				1	2	dmg-undead		100	100											arrm	boqm									0	0	0
of Molasses	100	1	1	60		40				1	3	slow		25	25											arrm	boqm									0	0	0
of Piercing	100	1	1	60		40				1	4	pierce		25	25											arrm	boqm									0	0	0
of Plenty	100		1	60		40				1	5	stack	200	200	200											arrm	boqm									0	0	0
ChitNor	100	1	1	1		1				1	101	randomize		1	120											chw1	cha1									0	0	0
ChitNM	100	1	1	1		1				1	101	randomize		1	120											chw2	cha2									0	0	0
ChitHell	100	1	1	1		1				1	101	randomize		1	120											chw3	cha3									0	0	0
RndStone	100	1	1	1		1				1	101	randomize		1	511											rstn										0	0	0
of Aurora	100	1	1	78		56				1	59	aura	Holy Fire H	1	12											helm										0	0	0
of Aurora	100	1	1	83		64				1	59	aura	Holy Freeze H	1	12											helm										0	0	0
of Aurora	100	1	1	83		64				1	59	aura	Holy Shock H	1	12											helm										0	0	0
Added																																				0	0	0
of Skill Master	100	1	1	72		54		nec	30	1	58	oskill	Poison Mastery	1	4											amul	ring	helm	tors	pole						0	0	0
of Aurora	100	1	1	1		1				1	59	aura	Cancel Cres	1	1											mrn0										0	0	0
of Aurora	100	1	1	1		1				1	59	aura	Super Salvation	1	1											mrn1										0	0	0
of Aurora	100	1	1	1		1				1	59	aura	Poverty	1	1											mrn2										0	0	0
of Static Field	100	1	1	1		1				1	50	gethit-skill	Static Field	33	33	hit-skill	Static Field	33	33							mrn3										0	0	0
of Aurora	100	1	1	1		1				1	59	aura	Cancel Fres	1	1											mrn4										0	0	0
of Damage	100	1	1	15	45	10				1	5	dmg%		10	10											arrm	boqm									0	0	0
of Damage	100	1	1	30	60	20				1	5	dmg%		15	15											arrm	boqm									0	0	0
of Damage	100	1	1	45		30				1	5	dmg%		20	20											arrm	boqm									0	0	0
of Damage	100	1	1	45		30				1	5	dmg%		20	20											arrm	boqm									0	0	0
of Explosive Arrow	100	1	1	36	63	30				3	60	explosivearrow		5	10											miss										0	0	0
of Explosive Arrow	100	1	1	64		55				3	60	explosivearrow		11	16											miss										0	0	0
of Magic Arrow	100	1	1	36	63	30				3	60	magicarrow		9	16											miss										0	0	0
of Magic Arrow	100	1	1	64		55				3	60	magicarrow		17	24											miss										0	0	0
of Sentence	100	1	1	72		48				4	37	pierce-fire		1	1											jewl										0	0	0
of Sentence	100	1	1	72		48				4	37	pierce-cold		1	1											jewl										0	0	0
of Sentence	100	1	1	72		48				4	37	pierce-ltng		1	1											jewl										0	0	0
of Sentence	100	1	1	72		48				4	37	pierce-pois		1	1											jewl										0	0	0
of Sentence	100	1	1	72		48				4	37	pierce-phys		1	1											jewl										0	0	0
of Sentence	100	1	1	72		48				4	37	pierce-mag		1	1											jewl										0	0	0
of Emphasis	100	1	1	64		42				5	38	extra-fire		2	4											jewl										0	0	0
of Emphasis	100	1	1	64		42				5	38	extra-cold		2	4											jewl										0	0	0
of Emphasis	100	1	1	64		42				5	38	extra-ltng		2	4											jewl										0	0	0
of Emphasis	100	1	1	64		42				5	38	extra-pois		2	4											jewl										0	0	0
of Emphasis	100	1	1	64		42				5	38	extra-mag2		1	3											jewl										0	0	0
of Emphasis	100	1	1	64		42				5	38	extra-wind		1	3											jewl										0	0	0
of Command	100	1	1	64		42				5	38	extra-summ		4	8											jewl										0	0	0
of Decrepification	100	1	1	12	36	10				2	60	hit-skill	Decrepify	1	4											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Decrepification	100	1	1	24	48	20				2	60	hit-skill	Decrepify	4	6											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Decrepification	100	1	1	36		30				2	60	hit-skill	Decrepify	6	8											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Decrepification	100	1	1	48		40				2	60	hit-skill	Decrepify	8	10											mele	amul	ring	arrm	boqm			staf	wand		0	0	0
of Decrepification	100	1	1	60		50				2	60	hit-skill	Decrepify	10	12											mele	amul	ring	arrm	boqm			staf	wand		0	0	0
of lowered Resistance	100	1	1	12	36	10				1	60	hit-skill	Lower Resist	1	1											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of lowered Resistance	100	1	1	24	48	20				1	60	hit-skill	Lower Resist	1	1											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of lowered Resistance	100	1	1	36		30				1	60	hit-skill	Lower Resist	1	2											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of lowered Resistance	100	1	1	48		40				1	60	hit-skill	Lower Resist	2	2											mele	amul	ring	arrm	boqm			staf	wand		0	0	0
of lowered Resistance	100	1	1	60		50				1	60	hit-skill	Lower Resist	2	3											mele	amul	ring	arrm	boqm			staf	wand		0	0	0
of Flesh and Bone	100	1	1	12	36	10				1	60	hit-skill	Poison Mastery	1	1											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Flesh and Bone	100	1	1	24	48	20				1	60	hit-skill	Poison Mastery	1	1											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Flesh and Bone	100	1	1	36		30				1	60	hit-skill	Poison Mastery	1	2											weap	amul	ring	arrm	boqm			staf	wand		0	0	0
of Flesh and Bone	100	1	1	48		40				1	60	hit-skill	Poison Mastery	2	2											mele	amul	ring	arrm	boqm			staf	wand		0	0	0
of Flesh and Bone	100	1	1	60		50				1	60	hit-skill	Poison Mastery	2	3											mele	amul	ring	arrm	boqm			staf	wand		0	0	0
of Splash	100	0	1	5	50	10				10	61	att-skill	468	5	1											jewl										0	0	0
of Splash	100	0	1	20		30				3	61	att-skill	468	10	1											jewl										0	0	0
of Splash	100	0		40		30				5	61	att-skill	468	10	1											jewl										0	0	0
of Splash	100	0		80		50				3	61	att-skill	468	15	1											jewl										0	0	0
of Flames	100	1	1	6	12	6				4	62	extra-fire		0	1	pierce-fire		0	1							staf	mana	h2h								0	0	0
of Flames	100	1	1	12	18	12				4	62	extra-fire		0	2	pierce-fire		0	1							staf	mana	h2h								0	0	0
of Immolation	100	1	1	18	24	18				4	62	extra-fire		1	3	pierce-fire		0	2							staf	mana	h2h								0	0	0
of Immolation	100	1	1	24	30	24				4	62	extra-fire		1	4	pierce-fire		0	2							staf	mana	h2h								0	0	0
of Immolation	100	1	1	30	36	30				4	62	extra-fire		2	5	pierce-fire		1	3							staf	mana	h2h								0	0	0
of Incineration	100	1	1	36	42	36				4	62	extra-fire		2	6	pierce-fire		1	3							staf	mana	h2h								0	0	0
of Incineration	100	1	1	42		42				4	62	extra-fire		3	7	pierce-fire		2	4							staf	mana	h2h								0	0	0
of Incineration	100	1	1	48		48				4	62	extra-fire		3	8	pierce-fire		2	4							staf	mana	h2h								0	0	0
of the Volcano	100	1	1	72		72				2	62	extra-fire		5	10	pierce-fire		5	7							staf	mana	h2h								0	0	0
of Shock	100	1	1	6	12	6				4	62	extra-ltng		0	1	pierce-ltng		0	1							staf	mana	h2h								0	0	0
of Shock	100	1	1	12	18	12				4	62	extra-ltng		0	2	pierce-ltng		0	1							staf	mana	h2h								0	0	0
of Zapping	100	1	1	18	24	18				4	62	extra-ltng		1	3	pierce-ltng		0	2							staf	mana	h2h								0	0	0
of Zapping	100	1	1	24	30	24				4	62	extra-ltng		1	4	pierce-ltng		0	2							staf	mana	h2h								0	0	0
of Zapping	100	1	1	30	36	30				4	62	extra-ltng		2	5	pierce-ltng		1	3							staf	mana	h2h								0	0	0
of Electrocution	100	1	1	36	42	36				4	62	extra-ltng		2	6	pierce-ltng		1	3							staf	mana	h2h								0	0	0
of Electrocution	100	1	1	42		42				4	62	extra-ltng		3	7	pierce-ltng		2	4							staf	mana	h2h								0	0	0
of Electrocution	100	1	1	48		48				4	62	extra-ltng		3	8	pierce-ltng		2	4							staf	mana	h2h								0	0	0
of Storms	100	1	1	72		72				2	62	extra-ltng		5	10	pierce-ltng		5	7							staf	mana	h2h								0	0	0
of Chilling	100	1	1	6	12	6				4	62	extra-cold		0	1	pierce-cold		0	1							staf	mana	h2h								0	0	0
of Chilling	100	1	1	12	18	12				4	62	extra-cold		0	2	pierce-cold		0	1							staf	mana	h2h								0	0	0
of Freezing	100	1	1	18	24	18				4	62	extra-cold		1	3	pierce-cold		0	2							staf	mana	h2h								0	0	0
of Freezing	100	1	1	24	30	24				4	62	extra-cold		1	4	pierce-cold		0	2							staf	mana	h2h								0	0	0
of Freezing	100	1	1	30	36	30				4	62	extra-cold		2	5	pierce-cold		1	3							staf	mana	h2h								0	0	0
of Frost	100	1	1	36	42	36				4	62	extra-cold		2	6	pierce-cold		1	3							staf	mana	h2h								0	0	0
of Frost	100	1	1	42		42				4	62	extra-cold		3	7	pierce-cold		2	4							staf	mana	h2h								0	0	0
of Frost	100	1	1	48		48				4	62	extra-cold		3	8	pierce-cold		2	4							staf	mana	h2h								0	0	0
of Blizzards	100	1	1	72		72				2	62	extra-cold		5	10	pierce-cold		5	7							staf	mana	h2h								0	0	0
of Blight	100	1	1	6	12	6				4	62	extra-pois		0	1	pierce-pois		0	1							wand	ndgr									0	0	0
of Blight	100	1	1	12	18	12				4	62	extra-pois		0	2	pierce-pois		0	1							wand	ndgr									0	0	0
of Venom	100	1	1	18	24	18				4	62	extra-pois		1	3	pierce-pois		0	2							wand	ndgr									0	0	0
of Venom	100	1	1	24	30	24				4	62	extra-pois		1	4	pierce-pois		0	2							wand	ndgr									0	0	0
of Venom	100	1	1	30	36	30				4	62	extra-pois		2	5	pierce-pois		1	3							wand	ndgr									0	0	0
of Pestilence	100	1	1	36	42	36				4	62	extra-pois		2	6	pierce-pois		1	3							wand	ndgr									0	0	0
of Pestilence	100	1	1	42		42				4	62	extra-pois		3	7	pierce-pois		2	4							wand	ndgr									0	0	0
of Pestilence	100	1	1	48		48				4	62	extra-pois		3	8	pierce-pois		2	4							wand	ndgr									0	0	0
of Anthrax	100	1	1	72		72				2	62	extra-pois		5	10	pierce-pois		5	7							wand	ndgr									0	0	0
of Flames	100	1	1	6	12	6				4	63	extra-fire		1	3											staf	mana	h2h	glov							0	0	0
of Flames	100	1	1	12	18	12				4	63	extra-fire		1	4											staf	mana	h2h	glov							0	0	0
of Immolation	100	1	1	18	24	18				4	63	extra-fire		2	5											staf	mana	h2h	glov							0	0	0
of Immolation	100	1	1	24	30	24				4	63	extra-fire		2	6											staf	mana	h2h	glov							0	0	0
of Immolation	100	1	1	30	36	30				4	63	extra-fire		3	7											staf	mana	h2h	glov							0	0	0
of Incineration	100	1	1	36	42	36				4	63	extra-fire		3	8											staf	mana	h2h								0	0	0
of Incineration	100	1	1	42		42				4	63	extra-fire		4	9											staf	mana	h2h								0	0	0
of Incineration	100	1	1	48		48				4	63	extra-fire		4	10											staf	mana	h2h								0	0	0
of the Volcano	100	1	1	72		72				2	63	extra-fire		5	15											staf	mana	h2h								0	0	0
of Shock	100	1	1	6	12	6				4	63	extra-ltng		1	3											staf	mana	h2h	glov							0	0	0
of Shock	100	1	1	12	18	12				4	63	extra-ltng		1	4											staf	mana	h2h	glov							0	0	0
of Zapping	100	1	1	18	24	18				4	63	extra-ltng		2	5											staf	mana	h2h	glov							0	0	0
of Zapping	100	1	1	24	30	24				4	63	extra-ltng		2	6											staf	mana	h2h	glov							0	0	0
of Zapping	100	1	1	30	36	30				4	63	extra-ltng		3	7											staf	mana	h2h	glov							0	0	0
of Electrocution	100	1	1	36	42	36				4	63	extra-ltng		3	8											staf	mana	h2h								0	0	0
of Electrocution	100	1	1	42		42				4	63	extra-ltng		4	9											staf	mana	h2h								0	0	0
of Electrocution	100	1	1	48		48				4	63	extra-ltng		4	10											staf	mana	h2h								0	0	0
of Storms	100	1	1	72		72				2	63	extra-ltng		5	15											staf	mana	h2h	glov							0	0	0
of Chilling	100	1	1	6	12	6				4	63	extra-cold		1	3											staf	mana	h2h	glov							0	0	0
of Chilling	100	1	1	12	18	12				4	63	extra-cold		1	4											staf	mana	h2h	glov							0	0	0
of Freezing	100	1	1	18	24	18				4	63	extra-cold		2	5											staf	mana	h2h	glov							0	0	0
of Freezing	100	1	1	24	30	24				4	63	extra-cold		2	6											staf	mana	h2h	glov							0	0	0
of Freezing	100	1	1	30	36	30				4	63	extra-cold		3	7											staf	mana	h2h								0	0	0
of Frost	100	1	1	36	42	36				4	63	extra-cold		3	8											staf	mana	h2h								0	0	0
of Frost	100	1	1	42		42				4	63	extra-cold		4	9											staf	mana	h2h								0	0	0
of Frost	100	1	1	48		48				4	63	extra-cold		4	10											staf	mana	h2h								0	0	0
of Blizzards	100	1	1	72		72				2	63	extra-cold		5	15											staf	mana	h2h								0	0	0
of Blight	100	1	1	6	12	6				4	63	extra-pois		1	3											wand	ndgr	glov								0	0	0
of Blight	100	1	1	12	18	12				4	63	extra-pois		1	4											wand	ndgr	glov								0	0	0
of Venom	100	1	1	18	24	18				4	63	extra-pois		2	5											wand	ndgr	glov								0	0	0
of Venom	100	1	1	24	30	24				4	63	extra-pois		2	6											wand	ndgr	glov								0	0	0
of Venom	100	1	1	30	36	30				4	63	extra-pois		3	7											wand	ndgr	glov								0	0	0
of Pestilence	100	1	1	36	42	36				4	63	extra-pois		3	8											wand	ndgr									0	0	0
of Pestilence	100	1	1	42		42				4	63	extra-pois		4	9											wand	ndgr									0	0	0
of Pestilence	100	1	1	48		48				4	63	extra-pois		4	10											wand	ndgr									0	0	0
of Anthrax	100	1	1	72		72				2	63	extra-pois		5	15											wand	ndgr									0	0	0
of Reassembling	100	1	1	36	42	36				4	63	extra-summ		4	8											wand	ndgr	dclb								0	0	0
of Reassembling	100	1	1	42		42				4	63	extra-summ		8	16											wand	ndgr	dclb								0	0	0
of Reassembling	100	1	1	48		48				4	63	extra-summ		16	32											wand	ndgr	dclb								0	0	0
of the Underworld	100	1	1	72		72				2	63	extra-summ		16	32	sum-skills		1	2							wand	ndgr	dclb								0	0	0
of the Abyss	100	1	1	12	45	12				8	41	res-mag		4	6											amul	belt	helm	tors							0	0	0
of the Abyss	100	1	1	45	65	45				8	41	res-mag		7	12											amul	belt	helm	tors							0	0	0
of the Abyss	100	1	1	65	90	65				8	41	res-mag		13	19											amul	belt	helm	tors							0	0	0
of the Abyss	100	1	1	90		90				8	41	res-mag		20	25											amul	belt	helm	tors							0	0	0
of Breaking	100	1	1	6	12	6				4	62	pierce-phys		0	1											mele							staf	orb	wand	0	0	0
of Breaking	100	1	1	12	18	12				4	62	pierce-phys		0	1											mele							staf	orb	wand	0	0	0
of Destroying	100	1	1	18	24	18				4	62	pierce-phys		0	2											mele							staf	orb	wand	0	0	0
of Destroying	100	1	1	24	30	24				4	62	pierce-phys		0	2											mele							staf	orb	wand	0	0	0
of Destroying	100	1	1	30	36	30				4	62	pierce-phys		1	3											mele							staf	orb	wand	0	0	0
of Bone Rattling	100	1	1	36	42	36				4	62	pierce-phys		1	3											mele							staf	orb	wand	0	0	0
of Bone Rattling	100	1	1	42		42				4	62	pierce-phys		2	4											mele							staf	orb	wand	0	0	0
of Bone Rattling	100	1	1	48		48				4	62	pierce-phys		2	4											mele							staf	orb	wand	0	0	0
of Atomizing	100	1	1	72		72				2	62	pierce-phys		5	7											mele							staf	orb	wand	0	0	0
of Weak Magic	100	1	1	6	12	6				4	62	pierce-mag		0	1											staf	orb	wand	mana	h2h						0	0	0
of Weak Magic	100	1	1	12	18	12				4	62	pierce-mag		0	1											staf	orb	wand	mana	h2h						0	0	0
of Theurgy	100	1	1	18	24	18				4	62	pierce-mag		0	2											staf	orb	wand	mana	h2h						0	0	0
of Theurgy	100	1	1	24	30	24				4	62	pierce-mag		0	2											staf	orb	wand	mana	h2h						0	0	0
of Theurgy	100	1	1	30	36	30				4	62	pierce-mag		1	3											staf	orb	wand	mana	h2h						0	0	0
of Conjuration	100	1	1	36	42	36				4	62	pierce-mag		1	3											staf	orb	wand	mana	h2h						0	0	0
of Conjuration	100	1	1	42		42				4	62	pierce-mag		2	4											staf	orb	wand	mana	h2h						0	0	0
of Conjuration	100	1	1	48		48				4	62	pierce-mag		2	4											staf	orb	wand	mana	h2h						0	0	0
of Diablery	100	1	1	72		72				2	62	pierce-mag		5	7											staf	orb	wand	mana	h2h						0	0	0
