index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Barbarian's Point-N	Qual-Kehk's Barbaric Gear-N	bsw	Bastard Sword	7	30	25								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	dmg/lvl	8			deadly/lvl	4			dmg%		100	100	crush/lvl	4			thorns/lvl	20			att/lvl	16			dmg%		150	150																																					0
Barbarian's Shelter-N	Qual-Kehk's Barbaric Gear-N	spl	Splint Mail	7	30	25								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	ac%		300	300	res-cold/lvl	8			res-fire/lvl	8			res-ltng/lvl	8			res-pois/lvl	8			rip		1	1	ac%		200	200																																					0
Barbarian's Visage-N	Qual-Kehk's Barbaric Gear-N	ba3	Horned Helm	7	30	25								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		2	2	hp/lvl	12			dmg-ltng		32	128	swing3		40	40	regen		25	25	balance3		30	30	thorns		100	100	ac		100	100																																					0
Rogue's Bow-NM	Kashya's Survival Kit-NM	8sb	Edge Bow	7	35	30								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	dmg/lvl	10			deadly/lvl	4			dmg%		150	150	crush/lvl	4			thorns/lvl	40			att/lvl	24		-900	dmg%		150	150																																					0
Rogue's Suit-NM	Kashya's Survival Kit-NM	xea	Serpentskin Armor	7	35	30								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	ac%		400	400	res-cold/lvl	10			res-fire/lvl	10			res-ltng/lvl	10			res-pois/lvl	10			rip		1	1	ac%		200	200																																					0
Rogue's Cap-NM	Kashya's Survival Kit-NM	xkp	Sallet	7	35	30								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		2	2	hp/lvl	24			dmg-fire		75	150	swing3		40	40	regen		25	25	balance3		30	30	thorns		200	200	ac		200	200																																					0
Mercenary's Pike-NM	Greiz's Desert Pride-NM	9st	Yari	7	45	35								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	dmg/lvl	10			wounds/lvl	4			dmg%		150	150	crush/lvl	4			thorns/lvl	40			att/lvl	24			dmg%		150	150																																					0
Mercenary's Wraps-NM	Greiz's Desert Pride-NM	xtu	Trellised Armor	7	45	35								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	ac%		400	400	res-cold/lvl	10			res-fire/lvl	10			res-ltng/lvl	10			res-pois/lvl	10			rip		1	1	ac%		200	200																																					0
Mercenary's Shiek-NM	Greiz's Desert Pride-NM	xlm	Casque	7	45	35								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		2	2	hp/lvl	24			dmg-pois	50	512	512	swing3		40	40	regen		25	25	balance3		30	30	thorns		200	200	ac		200	200																																					0
Iron Wolf's Broad Sword-NM	Asheara's Iron Wolf Division-NM	9bs	Battle Sword	7	50	40								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	cast2		20	20	extra-fire		20	20	extra-cold		20	20	extra-ltng		20	20									allskills		1	1																																					0
Iron Wolf's Robes-NM	Asheara's Iron Wolf Division-NM	xhn	Mesh Armor	7	50	40								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	ac%		400	400	res-cold/lvl	10			res-fire/lvl	10			res-ltng/lvl	10			res-pois/lvl	10			rip		1	1	ac%		200	200																																					0
Iron Wolf's Coif-NM	Asheara's Iron Wolf Division-NM	xhm	Winged Helm	7	50	40								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		2	2	hp/lvl	24			regen		25	25	allskills		1	1													ac		200	200																																					0
Iron Wolf's Guard-NM	Asheara's Iron Wolf Division-NM	xit	Dragon Shield	7	50	40								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	ac%		150	150	balance3		30	30	thorns		400	400													allskills		1	1																																					0
Barbarian's Point-NM	Qual-Kehk's Barbaric Gear-NM	9b9	Gothic Sword	7	55	45								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	dmg/lvl	10			att/lvl	24			deadly/lvl	4			dmg%		150	150	crush/lvl	4			thorns/lvl	40			dmg%		150	150																																					0
Barbarian's Shelter-NM	Qual-Kehk's Barbaric Gear-NM	xpl	Russet Armor	7	55	45								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	ac%		400	400	res-cold/lvl	10			res-fire/lvl	10			res-ltng/lvl	10			res-pois/lvl	10			rip		1	1	ac%		200	200																																					0
Barbarian's Visage-NM	Qual-Kehk's Barbaric Gear-NM	ba8	Rage Mask	7	55	45								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		2	2	hp/lvl	24			dmg-ltng		60	240	swing3		40	40	regen		25	25	balance3		30	30	thorns		200	200	ac		200	200																																					0
Rogue's Bow-H	Kashya's Survival Kit-H	1sb	Spiderwoven Bow	7	60	50								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	dmg/lvl	12			deadly/lvl	4			dmg%		200	200	crush/lvl	4			thorns/lvl	60			att/lvl	32			dmg%		150	150																																					0
Rogue's Suit-H	Kashya's Survival Kit-H	yea	Viper Skin	7	60	50								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	ac%		500	500	res-cold/lvl	12			res-fire/lvl	12			res-ltng/lvl	12			res-pois/lvl	12			rip		1	1	ac%		200	200																																					0
Rogue's Cap-H	Kashya's Survival Kit-H	ykp	Fedora	7	60	50								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		2	2	hp/lvl	36			dmg-fire		100	200	swing3		40	40	regen		25	25	balance3		30	30	thorns		300	300	ac		300	300																																					0
Mercenary's Pike-H	Greiz's Desert Pride-H	0st	Ranseur	7	70	55								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	dmg/lvl	12			wounds/lvl	4			dmg%		200	200	crush/lvl	4			thorns/lvl	60			att/lvl	32			dmg%		150	150																																					0
Mercenary's Wraps-H	Greiz's Desert Pride-H	ytu	Gemstoned Armor	7	70	55								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	ac%		500	500	res-cold/lvl	12			res-fire/lvl	12			res-ltng/lvl	12			res-pois/lvl	12			rip		1	1	ac%		200	200																																					0
Mercenary's Shiek-H	Greiz's Desert Pride-H	ylm	Guardian Helm	7	70	55								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		2	2	hp/lvl	36			dmg-pois	50	1024	1024	swing3		40	40	regen		25	25	balance3		30	30	thorns		300	300	ac		300	300																																					0
Iron Wolf's Broad Sword-H	Asheara's Iron Wolf Division-H	0bs	Viking Sword	7	75	60								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	cast2		20	20	extra-fire		20	20	extra-cold		20	20	extra-ltng		20	20									allskills		1	1																																					0
Iron Wolf's Robes-H	Asheara's Iron Wolf Division-H	yhn	Chain Shirt	7	75	60								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	ac%		500	500	res-cold/lvl	12			res-fire/lvl	12			res-ltng/lvl	12			res-pois/lvl	12			rip		1	1	ac%		200	200																																					0
Iron Wolf's Coif-H	Asheara's Iron Wolf Division-H	yhm	Tusk Helm	7	75	60								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		2	2	hp/lvl	36			regen		25	25	allskills		1	1													ac		300	300																																					0
Iron Wolf's Guard-H	Asheara's Iron Wolf Division-H	yit	Military Shield	7	75	60								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	ac%		200	200	balance3		30	30	thorns		600	600													allskills		1	1																																					0
Barbarian's Point-H	Qual-Kehk's Barbaric Gear-H	0b0	Dark Sword	7	80	65								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	dmg/lvl	12			att/lvl	32			deadly/lvl	4			dmg%		200	200	crush/lvl	4			thorns/lvl	60			dmg%		150	150																																					0
Barbarian's Shelter-H	Qual-Kehk's Barbaric Gear-H	ypl	Demon Fleece	7	80	65								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		3	3	ac%		500	500	res-cold/lvl	12			res-fire/lvl	12			res-ltng/lvl	12			res-pois/lvl	12			rip		1	1	ac%		200	200																																					0
Barbarian's Visage-H	Qual-Kehk's Barbaric Gear-H	bad	Destroyer Helm	7	80	65								1	-1000000	2	tinkerflag2		25	35	vit-h		-900	-900	sock		2	2	hp/lvl	36			dmg-ltng		60	360	swing3		40	40	regen		25	25	balance3		30	30	thorns		300	300	ac		300	300																																					0
New Cow King Set (ES)																																																																																													0
Cow King's Steel Horns	Cow King's Steels	ydw	Dwarven Battle Helm	7	85	75								9	12500	2	tinkerflag2		25	35	ac		150	150	nofreeze		1	1	dmg-to-mana		70	70	thorns		40	40																	ac		150	150	dmg-to-mana		70	70	thorns		40	40																													0
Cow King's Steel Hide	Cow King's Steels	yar	Archaic Armor	7	85	75								9	12500	2	tinkerflag2		25	35	res-all		36	36	ac%		120	120	hp		60	60	gethit-skill	Chain Lightning	18	20																	res-all		36	36	ac%		120	120	hp		60	60																													0
Cow King's Steel Hoofs	Cow King's Steels	ybt	Spirit Boots	7	85	75								9	12500	2	tinkerflag2		25	35	ac		140	140	move3		60	60	mag%		50	50	dex		40	40	dmg-fire		100	140													move3		60	60	mag%		50	50	dex		40	40																													0
