index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Bonemash	0	1		1	1	12	9	mac	Mace	1		7	15000								tinkerflag2		25	35	dmg-norm		5	15	deadly		20	40	regen-stam		15	30	dmg-undead		200	200	att-undead		250	250	swing2		20	20	reanimate	0	5	7																	0
Arc's Skewer	0	1		1	1	19	15	mst	Morning Star	1		7	15000								tinkerflag2		25	35	openwounds		33	33	mag%		50	50	half-freeze		1	1	att		80	160	swing2		40	40	gold%		50	50	dmg%		100	150	dmg/lvl	4															0
Grimbold's Flail	0	1		1	1	23	21	fla	Flail	1		8	20000								tinkerflag2		25	35	dmg-norm		1	30	dmg-demon		200	200	manasteal		12	24	slow		15	45	dex		20	30	dmg/lvl	8																							0
Silver Rule	0	1		1	1	28	27	whm	War Hammer	1		8	20000								tinkerflag2		25	35	dmg%		60	100	str		10	20	dmg-mag		10	20	att		90	180	res-ltng		30	30	dmg-ltng/lvl	32			swing1		10	10																	0
Bul-Kathos' Rage	0	1		1	1	32	24	mau	Maul	1		9	25000								tinkerflag2		25	35	dmg%		50	80	att%		25	25	allskills		1	1	res-all		30	30	dmg%/lvl	24			swing1		20	20																					0
Arreat's Peak	0	1		1	1	37	29	gma	Great Maul	1		9	25000								tinkerflag2		25	35	bar		2	2	dru		2	2	crush		30	30	deadly		30	30	swing2		30	30	dmg%		120	200	dmg-cold	150	35	70																	0
Koth's Cudgel	0	1		1	1	26	34	9cl	Cudgel	2		8	20000								tinkerflag2		25	35	bar		2	2	mana%		50	50	crush		30	30	dmg-undead		250	250	dmg/lvl	24																											0
Blood Splinter	0	1		1	1	35	38	9sp	Barbed Club	2		9	25000								tinkerflag2		25	35	lifesteal		10	15	openwounds		33	33	slow		50	50	crush		20	20	swing2		20	20	hit-skill	Life Tap	8	7	dmg%		120	160	dmg/lvl	12															0
Dreamflange	0	1		1	1	39	39	9ma	Flanged Mace	2		9	25000								tinkerflag2		25	35	sor		1	3	mana%		20	40	res-all		9	27	light		5	5	cast3		25	35	mana/lvl	8			hp		25	75																	0
Starshine	0	1		1	1	44	42	9mt	Jagged Star	2		10	30000								tinkerflag2		25	35	dmg%		160	220	allskills		1	1	vit		10	30	gethit-skill	Nova	30	14	hit-skill	ctcMeteor	10	12	att-skill	Fire Ball	25	14	dmg-fire/lvl	40			dmg-fire		50	100	regen		8	24	light		3	3					0
Demonfever	0	1		1	1	48	45	9fl	Knout	2		10	30000								tinkerflag2		25	35	res-pois-max		15	15	res-pois-len		75	75	dmg-pois	125	41	205	dmg-pois/lvl	40			att		150	300	dmg%		100	150	swing2		40	40	block3		100	100	dmg/lvl	12											0
Schaefer's Hammer	0	1		1	1	51	43	9wh	Battle Hammer	2		11	35000								tinkerflag2		25	35	att/lvl	5			dmg-ltng		1	500	res-ltng		100	100	res-ltng-max		20	20	hp		25	75	att		75	150	swing2		30	30	dmg-ltng/lvl	40			dmg%		110	160									0
Vulcan's Piledriver	0	1		1	1	56	48	9m9	War Club	2		11	35000								tinkerflag2		25	35	dmg%		190	240	fireskill		2	2	res-fire-max		20	20	res-fire		40	80	dmg-fire		25	50	swing2		40	40	dmg-fire/lvl	60			ease		-40	-40													0
Justicar Militiari	0	1		1	1	53	45	9gm	Martel de Fer	2		11	35000								tinkerflag2		25	35	dmg%		200	250	ease		25	25	dmg-ac		-50	-50	dmg-cold		7	7	cold-len		150	450	dmg%/lvl	16			swing1		20	20																	0
Caveman's Fury	0	1		1	1	51	58	0cl	Cranium Basher	3		11	35000								tinkerflag2		25	35	dmg%		280	330	crush		25	25	openwounds		25	25	oskill	Shout	2	5	dmg-fire/lvl	20			dmg-fire		25	75	hp%		30	50																	0
Darth Maul	0	1		1	1	60	60	0sp	Thorned Club	3		12	40000								tinkerflag2		25	35	light		-4	-4	deadly/lvl	4			lifesteal		6	9	knock		1	1	swing2		30	30	dmg/lvl	24			thorns		20	90	slow		50	50	hit-skill	Corpse Explosion	8	4									0
Caesar's Revenge	0	1		1	1	64	63	0ma	Arcane Mace	3		12	40000								tinkerflag2		25	35	ac		200	200	lifesteal		6	12	att		200	200	ac-hth		200	200	thorns		100	100	dmg%/lvl	16			thorns/lvl	32			manasteal		6	10	dmg%		100	150	hit-skill	Enchant	3	14					0
Butcher's Tenderizer	0	1		1	1	69	65	0mt	Serrated Star	3		12	40000								tinkerflag2		25	35	dmg-ac		-75	-75	openwounds		50	50	swing2		30	30	sock		2	2	crush		20	20	dmg%		210	260	aura	Might	5	5																	0
Thunder Star	0	1		1	1	73	69	0fl	Dire Flail	3		13	45000								tinkerflag2		25	35	dmg-ltng		1	400	dmg%/lvl	24			pierce-ltng		15	25	dmg-undead		200	200	str		5	15	vit		5	15	enr		5	15	dmg-ltng/lvl	32			hit-skill	Charged Bolt	20	26	oskill	Hydra	12	16					0
Miller's Hammer	0	1		1	1	78	79	0wh	Military Hammer	3		13	45000								tinkerflag2		25	35	hit-skill	Blessed Hammer	100	22	crush		33	33	dmg%		70	100	att%		15	30	swing1		25	25	aura	Concentration	5	7	dmg%/lvl	14																			0
Hammer of Bogardan	0	1		1	1	82	71	0m0	Ancient Maul	3		13	45000								tinkerflag2		25	35	swing2		35	35	dmg-fire		180	350	res-cold		-20	-20	hit-skill	Fire Ball	40	25	rep-dur	20			dmg-fire/lvl	24			dmg%		240	290	sock		3	3													0
Thor's Hammer	0	1		1	1	84	74	0gm	Titan's Maul	3		13	45000								tinkerflag2		25	35	dmg-ltng		240	480	ease		-15	-15	str		20	30	dmg%		130	160	dmg%/lvl	12			oskill	Charge	10	10	skill	Charge	10	10	swing3		80	80													0
pole																																																																					0
Eron's Bardiche	0	1		1	1	4	8	bar	Bardiche	1		6	10000								tinkerflag2		25	35	dmg-min		7	7	dex		10	20	str		10	20	swing2		20	20	str/lvl	12			dex/lvl	12			dmg/lvl	8																			0
Lawful Arm	0	1		1	1	10	14	vou	Voulge	1		7	15000								tinkerflag2		25	35	dmg-pois	125	62	124	noheal		1	1	res-all		20	20	dmg%		70	120	allskills		1	1	oskill	Sanctuary	3	6																					0
Blade of Oblivion	0	1		1	1	17	19	scy	Scythe	1		7	15000								tinkerflag2		25	35	skilltab	8	3	3	skilltab	15	3	3	ac		50	100	mana/lvl	8			hp/lvl	8			swing2		25	25	dmg-und/lvl	24			dmg/lvl	12															0
Hewson's Poleaxe	0	1		1	1	23	25	pax	Poleaxe	1		8	20000								tinkerflag2		25	35	dmg/lvl	14			all-stats		15	20	openwounds		20	20	swing2		20	20	hit-skill	Confuse	6	1																									0
Infidel's Rule	0	1		1	1	30	28	hal	Halberd	1		9	25000								tinkerflag2		25	35	dmg%		130	180	res-all-max		10	10	res-all		30	45	att		100	200	red-dmg		4	8	red-mag		4	8	balance1		20	20																	0
Eternal Rest	0	1		1	1	37	29	wsc	War Scythe	1		9	25000								tinkerflag2		25	35	dmg/lvl	12			cast3		20	20	mana%		20	20	crush		40	40	oskill	Poison Dagger	1	3	allskills		2	2	dmg%		50	90																	0
Defender of the Highlands	0	1		1	1	29	41	9b7	Lochaber Axe	2		8	20000								tinkerflag2		25	35	dmg%		100	200	allskills		2	2	regen		20	30	ac		250	250	lifesteal		3	9	knock		1	1	thorns/lvl	40			ac/lvl	40			dmg/lvl	8											0
Bill of the Crane Shamans	0	1		1	1	35	42	9vo	Bill	2		9	25000								tinkerflag2		25	35	dmg%		100	300	bar		3	4	deadly		25	25	mana		50	50	cast1		20	20	mana/lvl	8			manasteal		3	9	mana-kill		2	6	dru		3	4	sor		3	4					0
Reaver of Darkness	0	1		1	1	42	42	9s8	Battle Scythe	2		10	30000								tinkerflag2		25	35	dmg%		100	150	ease		-50	-50	ignore-ac		1	1	mana-kill		10	20	noheal		1	1	light		-4	-4	allskills		2	2	manasteal		12	25	hit-skill	Life Tap	20	20	dmg/lvl	16			cast3		30	30	0
Partizan of Light	0	1		1	1	48	43	9pa	Partizan	2		10	30000								tinkerflag2		25	35	dmg%		170	220	light-thorns		30	30	swing2		30	30	light		5	5	dmg-ltng		25	250	dmg-ltng/lvl	40			gethit-skill	mind blast	5	3	gethit-skill	ctcFist of the Heavens	10	28	hit-skill	Chain Lightning	25	18									0
The Will of Hatred	0	1		1	1	52	44	9h9	Bec-de-Corbin	2		11	35000								tinkerflag2		25	35	dmg%		70	110	manasteal		6	10	att%		25	75	stupidity		2	2	noheal		1	1	swing2		20	20	deadly/lvl	8			dmg/lvl	16			hit-skill	Attract	15	10									0
Instrument of Destruction	0	1		1	1	52	45	9wc	Grim Scythe	2		11	35000								tinkerflag2		25	35	allskills		3	3	ease		-30	-30	light		-4	-4	cast3		40	40	dmg-pois	100	512	768	crush		20	20	openwounds		20	20	dmg/lvl	12			dmg%		125	175	hit-skill	Static Field	15	14					0
Call of the Guardian	0	1		1	1	54	60	0b7	Urgrosh	3		11	35000								tinkerflag2		25	35	dmg%		150	200	res-all		25	25	ac-miss		250	250	gethit-skill	Charged Bolt	25	26	mana		30	30	ac		500	500	balance2		20	20	swing3		30	30	dmg%/lvl	8			hit-skill	Shout	5	6					0
Nine Lives Stealer	0	1		1	1	60	64	0vo	Pole Gauche	3		12	40000								tinkerflag2		25	35	lifesteal		15	25	manasteal		15	15	swing2		60	60	hit-skill	Life Tap	9	9	oskill	BloodGolem	5	10	oskill	Cycle of Life	5	10	dmg/lvl	16			dmg%		60	110	oskill	Golem Mastery	1	1									0
Soul Reaver	0	1		1	1	67	61	0s8	Shadow Scythe	3		12	40000								tinkerflag2		25	35	dmg%		222	333	hit-skill	Hells Gate	33	12	gethit-skill	Bone Armor	50	5	dmg-mag		100	250	hit-skill	Elemental Mastery	4	4	swing2		40	40	mana/lvl	8			skilltab	7	3	3													0
Sultan's Conqueror	0	1		1	1	70	67	0pa	Royal Partizan	3		13	45000								tinkerflag2		25	35	light		3	3	hit-skill	ctcFist of the Heavens	10	35	swing1		10	10	regen		30	30	gethit-skill	Frozen Armor	5	15	crush/lvl	4			deadly/lvl	6			dmg%		220	260													0
Almraizer	0	1		1	1	73	70	0h0	Guardian	3		13	45000								tinkerflag2		25	35	dmg%		100	195	att		125	125	knock		1	1	hit-skill	Chain Lightning	25	20	dmg%/lvl	12			att/lvl	5			oskill	Corpse Explosion	1	1	balance1		30	30													0
Eternal Reign	0	1		1	1	75	71	0wc	Death Reaper	3		13	45000								tinkerflag2		25	35	dmg%		180	230	heal-kill		5	10	mana-kill		5	10	str		10	20	hp%		15	15	mana%		15	15	allskills		1	1	swing3		30	30	indestruct		1	1	dmg%/lvl	8			oskill	Sword Mastery	1	1	0
scep																																																																					0
Holy Icon	0	1		1	1	6	5	scp	Scepter	1		6	10000								tinkerflag2		25	35	pal		1	1	dmg/lvl	8			swing2		30	30	dmg-undead		150	150	dmg-und/lvl	16			att-undead		200	200	att-und/lvl	2			mana		15	30													0
Blessed Avenger	0	1		1	1	14	13	gsc	Grand Scepter	1		7	15000								tinkerflag2		25	35	pal		1	1	dmg%		35	70	dmg/lvl	10			thorns/lvl	20			balance2		20	20	skill	Sanctuary	3	6																					0
Redeemer of the Light	0	1		1	1	22	21	gsp	Great Scepter	1		8	20000								tinkerflag2		25	35	pal		2	2	dmg%		100	100	dmg/lvl	10			swing2		30	30	mana-kill		6	8	heal-kill		6	8	light		5	5	addxp		5	5	rip		1	1	skill	Blessed Aim	3	5					0
Demon Bane	0	1		1	1	30	23	wsp	War Scepter	1		9	25000								tinkerflag2		25	35	pal		2	2	dmg/lvl	10			dmg-mag		20	60	dmg-mag/lvl	8			dmg-demon		200	200	att-demon		200	200					att-dem/lvl	2			manasteal		10	20	deadly		30	30	skill	Holy Bolt	5	5	0
Righteous Avenger	0	1		1	1	31	37	9sc	Rune Scepter	2		9	25000								tinkerflag2		25	35	pal		2	2	dmg-fire		80	160	dmg-ltng		80	160	dmg-cold	200	80	160	dmg-fire/lvl	32			dmg-ltng/lvl	32			dmg-cold/lvl	32			indestruct		1	1	skill	Sanctuary	4	8	sock		3	3					0
Demon Slayer	0	1		1	1	39	38	9qs	Holy Water Sprinkler	2		9	25000								tinkerflag2		25	35	allskills		2	2	dmg/lvl	14			dmg-min		15	30	swing2		25	25	dmg-demon		200	300	att-demon		200	300	noheal		1	1	balance2		20	20	sock		2	2									0
Liberation	0	1		1	1	47	42	9gp	Consecrated Scepter	2		10	30000								tinkerflag2		25	35	pal		2	2	dmg%		220	260	swing3		30	30	mana-kill		20	20	heal-kill		20	20	skilltab	11	2	3	hit-skill	Hells Gate	33	23																	0
Redemption	0	1		1	1	50	42	9ws	Divine Scepter	2		11	35000								tinkerflag2		25	35	pal		3	3	dmg%		50	100	dmg/lvl	12			swing2		30	30	lifesteal		20	20	manasteal		20	20	skill	Redemption	8	13	oskill	Cycle of Life	8	13													0
Agent of the Light	0	1		1	1	56	64	5sc	Celestial Scepter	3		11	35000								tinkerflag2		25	35	allskills		3	3	dmg%		190	240	dmg-ltng		1	500	dmg-ltng/lvl	40			light-thorns		400	500	regen		30	30	ac/lvl	24			light		5	5	skill	Holy Shock	8	8	oskill	Holy Shock	8	8	oskill	Lightning Strike	8	8	0
Judgement	0	1		1	1	64	67	0qs	Holy Scepter	3		12	40000								tinkerflag2		25	35	pal		2	2	skilltab	9	2	2	dmg%		100	150	dmg/lvl	12			crush		40	40	deadly		40	40	lifesteal		5	8	dmg-ac		-50	-50	kill-skill	Twister	5	20	rip		1	1					0
Instrument of Purification	0	1		1	1	72	71	0gp	Seraphic Scepter	3		13	45000								tinkerflag2		25	35	allskills		3	3	dmg%		240	290	swing2		25	25	att%		40	40	hit-skill	Holy Bolt	20	40	aura	Cleansing	10	10	oskill	Conversion	8	8	skill	Conversion	8	8													0
Scepter of the Sorcerer-Kings	0	1		1	1	80	76	0ws	Blessed Scepter	3		13	45000								tinkerflag2		25	35	allskills		2	2	cast1		-30	-30	dmg-to-mana		25	50	manasteal		6	12	oskill	Teleport	1	1	oskill	Fire Mastery	1	1	oskill	Fire Wall	10	10	oskill	Meteor	10	10	oskill	Cold Mastery	1	1	oskill	Blizzard	10	10	oskill	Frozen Orb	10	10	0
spea																																																																					0
Supercharged Rod	0	1		1	1	5	8	spr	Spear	1		6	10000								tinkerflag2		25	35	light-thorns		25	25	dmg-ltng		16	32	ac		25	75	swing2		10	30	dmg-ltng/lvl	64			gethit-skill	Charged Bolt	40	5	ac/lvl	20																			0
Poseidon's Trident	0	1		1	1	10	12	tri	Trident	1		7	15000								tinkerflag2		25	35	ama		1	1	att		90	180	dmg-norm		30	30	dmg-cold		10	20	hit-skill	Glacial Spike	30	1	dmg-cold/lvl	48			charged	Frozen Armor	15	8	cold-len		150	450													0
Forzan's Rage	0	1		1	1	16	17	brn	Brandistock	1		7	15000								tinkerflag2		25	35	dmg%		30	90	ama		1	1	ac		75	150	hp		20	40	swing2		10	20	dmg/lvl	16			deadly		40	80	crush		30	60													0
Rogerio's Lance	0	1		1	1	21	22	spt	Spetum	1		8	20000								tinkerflag2		25	35	ama		1	1	red-dmg%		10	30	res-all		15	30	dmg-fire		10	35	swing2		20	40	dmg-fire/lvl	20			abs-fire%			10	dmg%		120	180													0
Uthuala's Crest	0	1		1	1	32	27	pik	Pike	1		9	25000								tinkerflag2		25	35	dmg%		30	90	ama		2	2	res-fire		45	45	att		120	240	swing2		20	40	hp		30	90	dmg/lvl	16																			0
Zerae's Point	0	1		1	1	30	31	9sr	War Spear	2		9	25000								tinkerflag2		25	35	dmg%		230	270	ama		2	2	att		200	300	light		3	3	res-ltng		50	50	res-ltng-max		15	15	aura	Resist Lightning	2	4	dmg-ltng/lvl	56			skill	Fend	2	4	skill	Charged Strike	2	4					0
Gift of the Sea	0	1		1	1	35	33	9tr	Fuscina	2		9	25000								tinkerflag2		25	35	dmg%		220	260	sock		2	2	swing2		20	20	cast3		30	30	red-mag		5	10	regen-mana		40	80	stupidity		2	2	res-all		20	20													0
Kaihlanna's Pride	0	1		1	1	41	35	9br	War Fork	2		10	30000								tinkerflag2		25	35	dmg%		230	300	balance3		30	30	str		25	25	str/lvl	8			lifesteal		4	7	hit-skill	Static Field	20	5	noheal		1	1																	0
Tears of Pain	0	1		1	1	45	37	9st	Yari	2		10	30000								tinkerflag2		25	35	allskills		1	2	att%		15	30	freeze		3	3	howl		8	16	swing2		40	40	dmg/lvl	16			skilltab	2	1	3	slow		40	40	dmg%		70	120									0
Illusionary Pain	0	1		1	1	47	39	9p9	Lance	2		10	30000								tinkerflag2		25	35	dmg%/lvl	24			sock		2	2	crush		25	25	att		100	200	openwounds		25	25	hit-skill	Chain Lightning	20	5	hit-skill	Glacial Spike	20	5	hit-skill	Fire Ball	20	6	att/lvl	4											0
Backbiter	0	1		1	1	55	61	0sr	Guisarme	3		11	35000								tinkerflag2		25	35	dmg%		190	230	deadly		20	20	crush		20	20	vit		20	20	dex		20	20	dmg/lvl	12			oskill	Quickness	1	3	allskills		1	2													0
Defense of Atlantis	0	1		1	1	60	64	0tr	Grapnel	3		12	40000								tinkerflag2		25	35	dmg%		240	280	oskill	Killer Scythe	3	6	slow		33	33	ac		1000	1000	swing3		30	30	res-all		30	30																					0
Dragon's Breath	0	1		1	1	66	66	0br	Dragon Spear	3		12	40000								tinkerflag2		25	35	dmg%		240	280	att-skill	ctcFire Wall	25	22	aura	Concentration	5	8	lifesteal		8	12	balance2		20	20	hp/lvl	4			reduce-ac		33	33																	0
Storm Seeker	0	1		1	1	71	70	0st	Ranseur	3		13	45000								tinkerflag2		25	35	dmg%		190	240	oskill	Thunder Storm	4	4	sock		2	2	oskill	Sword Mastery	1	1	hit-skill	Frost Nova	20	17	att		160	240	swing2		40	40																	0
Rotting Splinter	0	1		1	1	82	75	0p0	Impaler	3		13	45000								tinkerflag2		25	35	dmg%		200	240	oskill	Dance of Death	1	3	res-pois		50	50	dmg%/lvl	12			att		200	200	dmg-pois	250	48	96	dmg-pois/lvl	24			openwounds		50	50													0
staf																																																																					0
Zann Esu's Raiment	0	1		1	1	2	5	sst	Short Staff	1		6	10000								tinkerflag2		25	35	res-all		10	25	hp		15	30	mana		15	30	fireskill		2	2	hp/lvl	8			mana/lvl	16																							0
The Fradstik	0	1		1	1	9	9	lst	Long Staff	1		6	10000								tinkerflag2		25	35	fireskill		2	2	ac		45	90	cast2		10	30	thorns		20	40	thorns/lvl	24			ac/lvl	32			att-skill	Fire Ball	30	3	swing1		10	10													0
Phenom's Rule	0	1		1	1	16	18	cst	Gnarled Staff	1		7	15000								tinkerflag2		25	35	sor		1	1	half-freeze		1	1	all-stats		10	10	str/lvl	8			dex/lvl	8			vit/lvl	8			enr/lvl	8			charged	Oak Sage	30	6													0
Morquan's Aura	0	1		1	1	23	21	bst	Battle Staff	1		8	20000								tinkerflag2		25	35	sor		1	1	res-fire		20	20	regen		10	20	red-dmg%		4	6	mana-kill		4	8	aura	Salvation	1	1																					0
Yoyo's Sanity	0	1		1	1	30	28	wst	War Staff	1		9	25000								tinkerflag2		25	35	pierce-fire		5	10	dmg-to-mana		20	40	sor		2	2	mana%		30	50	cast2		10	30	mana/lvl	16			sock	1	1	1																	0
Staff of the Horadrim	0	1		1	1	27	28	8ss	Jo Stalf	2		8	20000								tinkerflag2		25	35	sor		3	3	mana%		25	25	res-all		30	50	res-all-max		5	5	red-mag		4	6	regen-mana		15	30	red-dmg%		10	15	skill	Static Field	2	5													0
The Staff of Aesculapius	0	1		1	1	34	31	8ls	Quarterstaff	2		9	25000								tinkerflag2		25	35	allskills		2	2	res-pois		40	80	res-pois-max		20	20	hp%		20	20	regen		30	30	res-pois-len		50	100	dmg-pois	100	64	192	dmg-pois/lvl	40			swing3		50	50	dmg/lvl	32							0
Doomspire	0	1		1	1	41	35	8cs	Cedar Staff	2		10	30000								tinkerflag2		25	35	allskills		3	3	dmg%		150	200	regen-mana		25	75	cast3		30	30	manasteal		10	15	dmg/lvl	16			swing2		30	30	res-all		30	30	hp/lvl	12			mana/lvl	12							0
The Staff of Erana	0	1		1	1	47	39	8bs	Gothic Staff	2		10	30000								tinkerflag2		25	35	sor		4	4	mana%		40	40	cast2		20	20	res-all		50	50	ease		50	50	ac		500	500	ac/lvl	40																			0
Tal Rasha's Walking Stick	0	1		1	1	49	41	8ws	Rune Staff	2		10	30000								tinkerflag2		25	35	allskills		4	4	cast3		40	40	move2		40	40	mana/lvl	16			res-all-max		10	10	res-all		75	75																					0
Burning Sands	0	1		1	1	52	59	1ss	Elder Cane	3		11	35000								tinkerflag2		25	35	allskills		4	5	dmg-fire		80	90	res-fire		30	50	abs-fire%		19	25	dmg-fire/lvl	64			skill	Enchant	7	14	oskill	Enchant	3	3	oskill	Zeal	1	1	dmg%		200	250									0
Magelord's Assistant	0	1		1	1	59	63	1ls	Mystic Staff	3		11	35000								tinkerflag2		25	35	sor		6	6	mana%		30	50	red-dmg		15	20	regen-mana		60	80	mana		50	100	cast2		20	30	res-all		45	65	oskill	Dodge	1	1													0
The Protector	0	1		1	1	66	67	1cs	Petrified Staff	3		12	40000								tinkerflag2		25	35	vit		20	30	hp/lvl	12			red-dmg%		30	30	regen		10	20	thorns		125	175	ac/lvl	40			aura	Defiance	7	12	crush		33	33	swing1		40	40	dmg/lvl	28			allskills		4	4	0
Dragon Staff	0	1		1	1	73	71	1bs	Mage Staff	3		13	45000								tinkerflag2		25	35	allskills		4	4	mana%		25	50	oskill	Whirlwind	1	1	dmg-ltng		1	640	dmg-fire		28	280	dmg-cold	200	36	240	dmg-pois	75	547	1024	dmg-mag		40	120	ignore-ac		1	1	swing2		60	60	dmg%		110	150	0
Vizjeris' Knowledge	0	1		1	1	80	75	1ws	Arcane Staff	3		13	45000								tinkerflag2		25	35	sor		7	7	mana/lvl	16			regen-mana		50	75	skill	Fire Mastery	2	5	skill	Lightning Mastery	2	5	skill	Cold Mastery	2	5	cast1		60	60	ac		1500	1500													0
swor																																																																					0
Umbar's Blade	0	1		1	1	2	2	ssd	Short Sword	1		6	10000								tinkerflag2		25	35	dmg/lvl	12			dmg-norm		6	9	lifesteal		10	20	hp		10	20	mana		10	20	hp/lvl	8			mana/lvl	8																			0
The Rising Sun	0	1		1	1	7	7	scm	Scimitar	1		6	10000								tinkerflag2		25	35	dmg-min		6	12	dmg-fire		10	15	dmg-fire/lvl	32			regen		6	18	thorns		20	40	light		4	4	gethit-skill	Fire Bolt	25	5																	0
Tavern's Blade	0	1		1	1	12	10	sbr	Saber	1		7	15000								tinkerflag2		25	35	allskills		1	1	dmg-norm		10	15	swing2		30	30	ignore-ac		1	1	dmg-to-mana		10	30	ac-hth		50	100	ac/lvl	16																			0
Ironslice	0	1		1	1	17	13	flc	Falchion	1		7	15000								tinkerflag2		25	35	dmg/lvl	8			dmg-norm		3	15	swing2		20	20	deadly		20	20	res-ltng		30	30	res-ltng/lvl	6			thorns		25	25	ac		30	90	gold%		50	150									0
Rainbow's Power	0	1		1	1	18	13	crs	Crystal Sword	1		7	15000								tinkerflag2		25	35	dmg%		90	120	deadly		30	30	dmg-fire/lvl	24			dmg-ltng/lvl	24			dmg-cold/lvl	24			mag%		50	150	rep-dur	20																			0
Numenorean Iron	0	1		1	1	23	17	bsd	Broad Sword	1		8	20000								tinkerflag2		25	35	dmg%		140	180	swing1		25	25	dmg-fire		10	20	dmg-fire/lvl	24			att-skill	Fire Bolt	25	7	res-fire		30	60	abs-fire%		5	10																	0
Storm's Charge	0	1		1	1	30	22	lsd	Long Sword	1		9	25000								tinkerflag2		25	35	dmg/lvl	8			deadly		33	33	manasteal		6	12	dmg-ltng		1	50	dmg-ltng/lvl	32			hit-skill	Lightning	20	7	res-ltng		20	40	str		10	20	dex		10	20									0
Tribesman's Focus	0	1		1	1	37	29	wsd	War Sword	1		9	25000								tinkerflag2		25	35	allskills		2	2	dmg%		140	200	swing1		20	20	crush		15	15	move1		20	20	block		15	15	dex/lvl	4			hp		20	40	att/lvl	4											0
Darkteflan	0	1		1	1	5	12	2hs	Two-Handed Sword	1		6	10000								tinkerflag2		25	35	bar		1	1	dmg%		70	120	dmg/lvl	8			swing2		40	40	dmg-cold	150	10	25	dmg-cold/lvl	16			att%		20	30	res-cold		30	50													0
Devilish Fear	0	1		1	1	11	19	clm	Claymore	1		7	15000								tinkerflag2		25	35	dmg%		50	100	dmg/lvl	10			dmg-demon		200	200	att-demon		200	200	res-all		10	10	res-fire		30	50	abs-fire		10	10																	0
Falcon's Pride	0	1		1	1	18	23	gis	Giant Sword	1		7	15000								tinkerflag2		25	35	dmg/lvl	12			dmg-mag		15	30	swing2		25	25	deadly		33	33	att		100	200	att/lvl	8			hp		30	30	mana		30	30	light		5	5	skill	Raven	3	3					0
Gonnermouth's Blade	0	1		1	1	24	26	bsw	Bastard Sword	1		8	20000								tinkerflag2		25	35	dmg%		150	200	swing1		20	20	lifesteal		5	15	manasteal		5	15	noheal		1	1	vit		10	15	enr		10	15	sock		2	2													0
Blizzard's Sword	0	1		1	1	31	26	flb	Flamberge	1		9	25000								tinkerflag2		25	35	dmg%		140	200	openwounds		33	33	dmg-cold	100	15	25	dmg-cold/lvl	24			freeze		2	2	nofreeze		1	1	hit-skill	ctcBlizzard	25	7	gethit-skill	Frost Nova	25	7													0
The Barbaric Totem	0	1		1	1	38	29	gsd	Great Sword	1		9	25000								tinkerflag2		25	35	bar		2	2	dmg%		90	140	dmg/lvl	8			att%		25	50	vit		10	15	str/lvl	8			ac-hth		150	250	skilltab	14	1	3													0
Magma Spike	0	1		1	1	27	30	9ss	Gladius	2		8	20000								tinkerflag2		25	35	dmg%		60	120	dmg-min		25	25	dmg-fire		40	80	dmg-fire/lvl	32			fireskill		2	2	noheal		1	1	dmg-ac		-20	-20	res-fire-max		25	25	res-fire		50	50	light		1	1					0
Scourge of the Twin Seas	0	1		1	1	32	31	9sm	Cutlass	2		9	25000								tinkerflag2		25	35	dmg%		150	200	lifesteal		4	8	att		90	180	mag%		50	100	gold%		50	100	hit-skill	Ice Blast	25	7	hit-skill	Glacial Spike	25	5																	0
Soulforge	0	1		1	1	37	33	9sb	Shamshir	2		9	25000								tinkerflag2		25	35	dmg%/lvl	24			swing1		20	20	manasteal		5	15	mana-kill		4	8	dmg-mag		50	100	dmg-mag/lvl	24			rep-dur	15			red-dmg%		5	10													0
The Desert Wind	0	1		1	1	42	35	9fc	Tulwar	2		10	30000								tinkerflag2		25	35	dmg%		50	100	dmg/lvl	8			swing3		75	75	deadly		25	25	openwounds		10	10	ignore-ac		1	1	ac		100	200	regen		15	15													0
Frost Shard	0	1		1	1	45	37	9cr	Dimensional Blade	2		10	30000								tinkerflag2		25	35	dmg%		100	150	dmg/lvl	6			swing2		20	20	dmg-cold	200	20	60	dmg-cold/lvl	32			noheal		1	1	hit-skill	Frost Nova	20	12	res-cold-max		10	15	res-cold		40	80									0
Zakarum Blade	0	1		1	1	47	39	9bs	Battle Sword	2		10	30000								tinkerflag2		25	35	pal		1	2	dmg/lvl	12			dmg-norm		4	8	dmg-undead		150	200	att-undead		100	200	hp%		5	15	mana-kill		2	8	str		10	20	light		1	3	res-all		10	20					0
Celestial Avenger	0	1		1	1	49	41	9ls	Rune Sword	2		10	30000								tinkerflag2		25	35	allskills		1	1	dmg%		150	200	swing1		15	15	dmg-demon		200	200	dmg-undead		200	200	att-demon		200	200	att-undead		200	200	dmg-fire		48	96	light		5	5	sock		2	2					0
